"","ncat_subtipov2","str_subtipo","english_ncat_subtipov2","english_str_subtipo"
"1","asoc_empresaria","Asociación empresaria","business_association","Business association"
"2","asoc_iglesia","Asociación religiosa","church_association","Religious association"
"3","ong_genero","ONG en pos de igualdad de género","ngo_gender","NGO for gender equality"
"4","thinkthank","Think Thanlk","thinkthank","Think Thank"
"5","coordinadora","Coordinadora de varias OCSs","coordinates","Coordinator of several SCOs"
"6","ong_democracia","ONG en pos de la democracia","ong_democracia","NGO for democracy"
"7","ong_internacional","ONG internacional","ngo_international","International NGO"
"8","asoc_prof","Asociación de profesionales","association_professional","Professional association"
"9","movimiento_estudiantil","Movimiento estudiantil","student_movement","Student movement"
"10","ong_migrantes","ONG en pos de los derechos de los inmigrantes","migrant NGO","NGO for immigrant rights"
"11","ong_ddhh","ONG en pos de los DDHH","ngo_ddhh","NGO for human rights"
"12","asoc_sindical","Sindicato","trade_union_association","Trade union"
"13","empresa","Empresa","company","Company"
"14","tv_publica_abierta","Canal de TV abierto público nacional","open_public_tv","National public open TV channel"
"15","tv_subnacional_publica","Canal de TV abierto público subnacional","public_subnational_tv","Subnational public broadcast TV channel"
"16","espaciocultural_publico","Espacio cultural público","public_cultural_space","Public cultural space"
"17","radio_publica","Radio pública","public_radio","Public radio"
"18","tv_abierta_privada","Canal de TV abierta privada","open_private_tv","Private broadcast TV channel"
"19","grafico_privado","Medio gráfico privado","private_graphics","Private graphic media"
"20","asoc_medios","Asociación de propietarios de medios","media_association","Media owners' association"
"21","radio_privada","Radio abierta privada","private_radio","Private broadcast radio"
"22","asoc_prensa","Asociación de periodistas","press_association","Journalists' association"
"23","digital_privado","Medio con base digital privado","digital_privado","Private digital media"
"24","tv_internacional","Canal internacional","international_tv","International channel"
"25","tv_iglesia_abierta","Canal de TV abierta de la Iglesia","open_church_tv","Church broadcast TV channel"
"26","tv_pago_privada","Canal de TV por suscripción o pago privado","tv_payed_private","Private payed TV channel"
"27","telecomu_privado","Empresa del sector telecomunicaciones","private_telecommunications","Telecommunications sector company"
"28","tv_productora_privada","Productora de TV comercial","private_production_tv","Commercial TV production company"
"29","tv_abierta_universitaria","Canal de TV abierto universitario","open_university_tv","Open university TV channel"
"30","tv_programa_privado","Programa de TV privado","private_program_tv","Private TV program"
"31","espaciocultural_privado","Espacio cultural privado","private_cultural_space","Private cultural space"
"32","grafico_universitario","Medio gráfico universitario","university_graphics","University graphic media"
"33","estado_electoral","Organismo electoral nacional","electoral_state","National electoral body"
"34","estado_subnacional","Administración estatal subnacional","subnational_state","Subnational state administration"
"35","estado_medios","Organismo estatal del sector comunicaciones","state_media","State agency of the communications sector"
"36","estado_autonomo","Ente descentralizado","autonomous_state","Decentralized entity"
"37","educ_publica","Institución de educiación superior pública","public_education","Public higher education institution"
"38","educ_privada","Institución de educiación superior privada","educ_privada","Private higher education institution"
"39","educ_asoc","Asociación de instituciones educativas (variedad de instituciones)","education","Association of educational institutions (variety of institutions)"
"40","educ_iglesia","Institución de educación superior de la Iglesia","church_education","Church higher education institution"
"41","educ_asoc_privadas","Asociación de instituciones educativas privadas","private_education","Association of private educational institutions"
"42","educ_asoc_iglesia","Asociación de instituciones educativas religiosas","church_association_education","Association of religious educational institutions"
"43","educ_asoc_publica","Asociación de instituciones educativas públicas","public_education_association","Association of public educational institutions"
"44",NA,"Sin datos",NA,"No data"
