"","variable","Tau B","Pearson","Estimate Coef.","Estimate Coef. Estandarizado","Pr(>|z|)","Stars"
"1","% votos obtenidos",-0.07,-0.09,-0.01,-0.25,0,"***"
"2","Ideología izq-der",0.04,0.05,0.09,0.14,0.15,""
"3","Fuerza organizacional",-0.05,-0.05,-0.1,-0.14,0.16,""
"4","Cant. invitaciones en elección",-0.09,-0.17,-0.09,-0.41,0,"***"
"5","Es oficialista (dummy)",-0.02,-0.02,-0.19,-0.06,0.32,""
"6","Reelige (dummy)",-0.09,-0.09,-1.23,-0.17,0,"***"
"7","Prop. ausencias pasadas (incl. 0)",-0.09,-0.09,-0.54,-0.25,0,"***"
"8","OSC organizadora",-0.14,-0.14,-0.82,-0.4,0,"***"
"9","MMC organizadora",0.02,0.02,0.1,0.05,0.45,""
"10","Estado organizador",0.07,0.07,0.65,0.24,0,"***"
