"","obsid","cooks_distances"
"1","Republica Dominicana 2020 1",0.0767897649873352
"2","Costa Rica 2014 2",0.0595818660475959
"3","Brasil 2018 2",0.0462337988903124
"4","Republica Dominicana 2016 1",0.045908207214773
"5","Ecuador 2017 2",0.0416291171250971
"6","Colombia 2018 2",0.0405315381100288
"7","Bolivia 2019 1",0.0364839322800434
"8","Honduras 1993 1",0.0318495128890748
"9","Peru 1990 2",0.0311162016879079
"10","Colombia 1998 1",0.0291677023394921
"11","Nicaragua 1990 1",0.0241371918508557
