"","variable","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","Std. Dev","NAs"
"1","Año Elección",1962,1995.25,2005.5,2003.67,2014,2023,13.04,0
"2","N.E.C.",1.53,2,2.53,2.99,3.31,9.34,1.31,0
"3","Alineamiento partidario",10.3,22.5,31.6,34.61,44.7,77.8,16.64,61
"4","Margen de victoria",0.22,4.12,9.8,12.1,16.71,55.52,10,0
"5","% voto oficialista",0,0.82,35.47,29.22,47.96,69.56,21.75,0
"6","% hogares con TV",66.67,88.1,93.6,91.17,96.28,99.3,7.13,49
"7","% individuos con Internet",0,0,16.6,27.85,52.57,89.23,29.06,23
"8","Prohibición propaganda en TV (dummy)",0,0,0,0.19,0,1,0.4,17
"9","Acceso gratuito a TV (dummy)",0,0,1,0.72,1,1,0.45,22
"10","Debates televisados regulados (dummy)",0,0,0,0.33,1,1,0.47,0
"11","Cantidad de elecciones pasadas con debates",0,1,2,2.86,4,11,2.5,0
"12","Prop. promedio de elecciones con debates en región",0,0.34,0.49,0.49,0.66,0.85,0.21,0
"13","Prop. de elecciones con debates en USA",0,1,1,0.95,1,1,0.22,0
"14","PBI per cápita",1241.41,3905.45,5946.02,6694.28,8876.88,17596.81,3822.04,10
"15","Nivel de democracia (componente electoral VDEM)",0.51,0.69,0.79,0.78,0.87,0.93,0.11,0
"16","Nivel de corrupción en medios (VDEM)",1.36,2.69,2.94,2.93,3.55,3.96,0.65,0
