"","cat_pais","ncat_eleccion","ncat_ronda","n_candidaturas","n_debates_eleccion","dico_debates_eleccion","n_debates_frontrunner_presente","n_debates_frontycha_presentes","n_debates_frontORcha_presentes","dico_frontrunner_presente","dico_frontycha_presentes","dico_frontORcha_presentes","lagged_n_debates_eleccion","lagged_n_debates_frontrunner_presente","lagged_n_debates_frontORcha_presentes","lagged_dico_debates_eleccion","lagged_dico_frontrunner_presente","lagged_dico_frontORcha_presentes","lagged_all_previous_elec","lagged_all_previous_elec_frontrunner_presente","lagged_all_previous_debates","lagged_all_previous_debates_frontrunner_presente","lagged_dico_any_previous_elec","lagged_dico_any_previous_elec_frontrunner_presente","electionid","turnout","sd_mean_encuestas_candidato","sd_vote_","concentracion","competitividad","incumbente","frontrunner","winner","challenger","previous_year","start_year","mean_prop_elecciones_con_debates_periodo_previo","n_elecciones_año_anterior_region","n_elecciones_año_anterior_region_con_debates","n_elecciones_año_anterior_region_con_frontrunner","prop_elecciones_año_anterior_region_con_debates","prop_elecciones_año_anterior_region_con_frontrunner","cat_primer_debate","ncat_regmedios","ncat_regestado","ncat_regcandidatos","ncat_totreg"
"1","Brasil",1989,2,22,2,1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,1985,0.111111111111111,4,0,0,0,0,1989,1,1,1,3
"2","Brasil",1994,1,8,3,1,NA,NA,NA,NA,NA,NA,8,NA,NA,1,NA,NA,1,NA,8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,1989,0.437777777777778,5,4,1,0.8,0.2,1989,3,2,2,7
"3","Brasil",1998,2,12,0,0,0,0,0,0,0,0,3,NA,NA,1,NA,NA,2,NA,11,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997,1994,0.270833333333333,3,1,0,0.333333333333333,0,1989,3,2,2,7
"4","Brasil",2002,2,6,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2,NA,11,NA,1,NA,"Brazil 2002-10-27",79.5299987792969,20.5362143053255,15.9806121758566,94.4833335876465,29.0425927903917,NA,"Luiz Inacio Lula da Silva","Luiz Inacio Lula da Silva","Jose Serra",2001,1998,0.280753968253968,4,1,0,0.25,0,1989,3,2,2,7
"5","Brasil",2006,2,7,4,1,4,4,4,1,1,1,4,4,4,1,1,1,3,NA,15,NA,1,NA,"Brazil 2006-10-29",81.0100021362305,12.6269068069026,15.315935470003,93.6428571428571,17.8571428571429,NA,"Luiz Inacio Lula da Silva","Luiz Inacio Lula da Silva","Geraldo Alckmin",2005,2002,0.5625,2,1,0,0.5,0,1989,3,2,2,7
"6","Brasil",2010,2,9,4,1,4,4,4,1,1,1,7,4,6,1,1,1,4,NA,22,NA,1,NA,"Brazil 2010-10-31",78.5,6.95231028667327,8.55598827599958,89.3935901935284,9.83205149723932,NA,"Dilma Rousseff","Dilma Rousseff","Jose Serra",2009,2006,0.472069597069597,7,2,0,0.285714285714286,0,1989,3,2,2,7
"7","Brasil",2014,2,11,4,1,4,4,4,1,1,1,13,10,13,1,1,1,5,NA,35,NA,1,NA,"Brazil 2014-10-26",78.9,1.69326243275523,2.31335543172203,91.7894736842105,2.39463469705931,"Dilma Rousseff","Dilma Rousseff","Dilma Rousseff","Aecio Neves",2013,2010,0.708333333333333,6,5,3,0.833333333333333,0.5,1989,3,2,2,7
"8","Brasil",2018,2,13,0,0,0,0,0,0,0,0,9,9,9,1,1,1,6,NA,44,NA,1,NA,"Brazil 2018-10-28",78.7,8.91543799946039,7.25491557497398,86.4666666666667,12.6083333333333,"Fernando Haddad","Jair Bolsonaro","Jair Bolsonaro","Fernando Haddad",2017,2014,0.825,5,4,2,0.8,0.4,1989,3,2,2,7
"9","Brasil",2022,2,11,2,1,2,2,2,1,1,1,7,2,6,1,1,1,7,NA,51,NA,1,NA,"Brasil 2022-10-30",79.41,5.16613918206654,1.27279220613578,91.1951807228916,7.30602409638554,"Jair Bolsonaro","Luiz Inacio Lula da Silva","Luiz Inacio Lula da Silva","Jair Bolsonaro",2021,2018,0.729166666666667,6,6,6,1,1,1989,3,2,2,7
"10","Argentina",1983,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,1979,0.166666666666667,5,0,0,0,0,2015,0,0,0,0
"11","Argentina",1989,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,1983,0.233333333333333,4,0,0,0,0,2015,0,0,0,0
"12","Argentina",1995,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994,1989,0.448148148148148,10,5,1,0.5,0.1,2015,0,0,0,0
"13","Argentina",1999,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Argentina 1999-10-24",82.32,16.6907281194899,19.7662802098254,72.6857142857143,9.79047619047619,"Eduardo Duhalde","Fernando de la Rua","Fernando de la Rua","Eduardo Duhalde",1998,1995,0.256944444444444,9,4,0,0.444444444444444,0,2015,0,0,0,0
"14","Argentina",2003,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Argentina 2003-04-27",78.21,2.66514939579437,4.92798944804065,36.4176470588235,0.194117647058821,NA,"Nestor Kirchner","Carlos Menem","Carlos Menem",2002,1999,0.357142857142857,8,6,2,0.75,0.25,2015,0,0,0,0
"15","Argentina",2007,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Argentina 2007-10-28",76.3099975585938,18.6073209403211,16.0173847862019,58.7888889312744,33.459259668986,"Cristina Fernandez de Kirchner","Cristina Fernandez de Kirchner","Cristina Fernandez de Kirchner","Elisa Carrio",2006,2003,0.567307692307692,13,10,5,0.769230769230769,0.384615384615385,2015,0,0,0,0
"16","Argentina",2011,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Argentina 2011-10-23",78.8899993896484,18.7807871900263,19.9607211564464,65.9666663805644,36.7333331108093,NA,"Cristina Fernandez de Kirchner","Cristina Fernandez de Kirchner","Hermes Binner",2010,2007,0.529761904761905,7,7,7,1,1,2015,0,0,0,0
"17","Argentina",2015,2,6,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Argentina 2015-11-22",81.07,3.4273465684112,1.61220346110533,88.543,4.847,"Daniel Scioli","Mauricio Macri","Mauricio Macri","Daniel Scioli",2014,2011,0.645833333333333,12,9,3,0.75,0.25,2015,0,0,0,0
"18","Argentina",2019,1,6,2,1,2,2,2,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,"Argentina 2019-10-27",81.31,21.0747438654314,21.5886985866834,84.19,18.9668421052632,"Mauricio Macri","Alberto Fernandez","Alberto Fernandez","Mauricio Macri",2018,2015,0.804166666666667,9,6,6,0.666666666666667,0.666666666666667,2015,2,4,3,9
"19","Argentina",2023,2,5,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,2,4,3,1,1,"Argentina 2023-11-19",76.31,1.06066017177982,7.99030662740799,88.164,1.5,"Sergio Massa","Javier Milei","Javier Milei","Sergio Massa",2022,2019,0.770833333333333,6,5,5,0.833333333333333,0.833333333333333,2015,2,4,3,9
"20","Chile",1989,1,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Chile 1989-12-14",94.72,19.1830864925792,20.1598668977088,79.9235294117647,20.8294117647059,"Hernan Buchi","Patricio Aylwin Azocar","Patricio Aylwin Azocar","Hernan Buchi",1988,1985,0.111111111111111,4,0,0,0,0,1989,0,0,0,0
"21","Chile",1993,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Chile 1993-12-11",91.23,21.8801831954549,21.834142758533,73.9,39.4,"Eduardo Frei Ruiz-Tagle","Eduardo Frei Ruiz-Tagle","Eduardo Frei Ruiz-Tagle","Arturo Alessandri Besa",1992,1989,0.347222222222222,2,1,0,0.5,0,1989,0,0,0,0
"22","Chile",2000,2,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999,1993,0.352947845804989,7,1,0,0.142857142857143,0,1989,0,0,0,0
"23","Chile",2006,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,"Chile 2006-01-15",87.12,3.28097546470558,4.94974746830583,82.68,4.64,"Sebastian Pinera","Michelle Bachelet","Sebastian Pinera","Sebastian Pinera",2005,2000,0.464285714285714,2,1,0,0.5,0,1989,0,0,0,0
"24","Chile",2010,2,4,1,1,1,1,1,1,1,1,6,5,5,1,1,1,4,4,9,8,1,1,"Chile 2010-01-17",86.9899978637695,4.5814886328406,2.27688469858819,100,6.47920336042135,NA,"Sebastian Pinera","Sebastian Pinera","Eduardo Frei Ruiz-Tagle",2009,2006,0.472069597069597,7,2,0,0.285714285714286,0,1989,0,0,0,0
"25","Chile",2013,2,9,2,1,2,2,2,1,1,1,8,8,8,1,1,1,5,5,17,16,1,1,"Chile 2013-12-15",41.98,24.5012499681139,17.2109790540806,74.45,34.65,"Evelyn Matthei","Michelle Bachelet","Michelle Bachelet","Evelyn Matthei",2012,2010,0.666666666666667,3,1,1,0.333333333333333,0.333333333333333,1989,0,0,0,0
"26","Chile",2017,2,8,2,1,2,2,2,1,1,1,6,5,6,1,1,1,6,6,23,21,1,1,"Chile 2017-12-17",49.02,2.66932809897922,6.47709811566877,81.425,3.775,"Alejandro Guillier","Sebastian Pinera","Sebastian Pinera","Alejandro Guillier",2016,2013,0.833333333333333,4,3,2,0.75,0.5,1989,0,0,0,0
"27","Chile",2021,2,7,2,1,2,2,2,1,1,1,8,6,7,1,1,1,7,7,31,27,1,1,"Chile 2021-12-19",55.64,4.65276262020748,8.30143361113007,83.74,6.58,NA,"Gabriel Boric","Gabriel Boric","Jose Antonio Kast",2020,2017,0.679166666666667,2,1,1,0.5,0.5,1989,0,0,0,0
"28","Peru",1980,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1979,1976,0.333333333333333,3,2,0,0.666666666666667,0,1990,0,0,0,0
"29","Peru",1985,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,1980,0.166666666666667,6,2,0,0.333333333333333,0,1990,0,0,0,0
"30","Peru",1990,2,9,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Peru 1990-06-10",79.93,1.77955206598614,17.4231110884365,85.0233333333333,2.51666666666667,NA,"Mario Vargas Llosa","Alberto Fujimori","Alberto Fujimori",1989,1985,0.222222222222222,9,5,1,0.555555555555556,0.111111111111111,1990,0,0,0,0
