"","cat_pais","ncat_eleccion","ncat_ronda","n_candidaturas","n_debates_eleccion","dico_debates_eleccion","n_debates_frontrunner_presente","n_debates_frontycha_presentes","n_debates_frontORcha_presentes","dico_frontrunner_presente","dico_frontycha_presentes","dico_frontORcha_presentes","lagged_n_debates_eleccion","lagged_n_debates_frontrunner_presente","lagged_n_debates_frontORcha_presentes","lagged_dico_debates_eleccion","lagged_dico_frontrunner_presente","lagged_dico_frontORcha_presentes","lagged_all_previous_elec","lagged_all_previous_elec_frontrunner_presente","lagged_all_previous_debates","lagged_all_previous_debates_frontrunner_presente","lagged_dico_any_previous_elec","lagged_dico_any_previous_elec_frontrunner_presente","electionid","turnout","sd_mean_encuestas_candidato","sd_vote_","concentracion","competitividad","incumbente","frontrunner","winner","challenger","previous_year","start_year","mean_prop_elecciones_con_debates_periodo_previo","n_elecciones_año_anterior_region","n_elecciones_año_anterior_region_con_debates","n_elecciones_año_anterior_region_con_frontrunner","prop_elecciones_año_anterior_region_con_debates","prop_elecciones_año_anterior_region_con_frontrunner","cat_primer_debate","ncat_regmedios","ncat_regestado","ncat_regcandidatos","ncat_totreg","average_confianza_tv","average_confianza_ppols","median_confianza_tv","median_confianza_ppols","average_scaled_confianza_tv","average_scaled_confianza_ppols","sd_confianza_tv","sd_confianza_ppols","dico_confianza_tv_0","dico_confianza_tv_1","dico_confianza_tv_2","dico_confianza_tv_3","dico_confianza_ppols_0","dico_confianza_ppols_1","dico_confianza_ppols_2","dico_confianza_ppols_3","average_dias_tv","median_dias_tv","sd_dias_tv","int_average_confianza_tv","int_average_confianza_ppols","int_average_dias_tv","wave","average_confianza_medios","average_scaled_confianza_medios","average_confianza_medios_recat","average_confianza_tv_medios_latin_lapop","average_scaled_confianza_tv_medios_latin_lapop","int_average_confianza_tv_medios_latin_lapop","int_average_scaled_confianza_tv_medios_latin_lapop","año_reforma","consec_reforma_pais","prohibicion_propaganda","acceso_gratuito","distribucion_tiempos","franja_presidente","cname","cname_year","version","egov_hci","wdi_litrad","undp_hdi","wdi_popurb","wvs_pmi4","wvs_pmi12","ihme_hle_0104t","who_let","wdi_gdpcappppcon2017","wdi_internet","egov_tii","rsf_pfi","wvs_confpr","wvs_conftv","bti_foe","diat_ti","nelda_mbbe","atop_transyr","nelda_fme","p_durable","bmr_demdur","bmr_dem","bmr_dembr","bmr_demtran","gol_pest","p_polity2","ideavt_prescv","ideavt_presvt","chga_demo","cses_pc","gol_enep","gol_enep1","gol_enpres","wvs_confpp","nelda_vcdbe","bti_ci","jw_persr"
"1","Brasil",1989,2,22,2,1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,1985,0.111111111111111,4,0,0,0,0,1989,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brazil","Brazil 1989","QoGStdTSjan24",NA,NA,NA,73.139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,0,0,1,4,5,1,1,0,2,8,1,88.07,1,NA,3.55,3.555,5.69,NA,0,NA,NA
"2","Brasil",1994,1,8,3,1,NA,NA,NA,NA,NA,NA,8,NA,NA,1,NA,NA,1,NA,8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,1989,0.437777777777778,5,4,1,0.8,0.2,1989,3,2,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brazil","Brazil 1994","QoGStdTSjan24",NA,NA,0.63800001,76.903,NA,NA,61.427834,NA,10867.7509166537,0.037672709,NA,NA,NA,NA,NA,62,3,0,0,9,10,1,1,0,2,8,1,84.93,1,NA,8.53,8.53,2.65,NA,0,NA,7
"3","Brasil",1998,1,12,0,0,0,0,0,0,0,0,3,NA,NA,1,NA,NA,2,NA,11,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997,1994,0.3125,2,1,0,0.5,0,1989,3,2,2,7,1.17237903225806,0.840242669362993,1,1,-0.255974619593261,0.0631526866041975,0.958010038880193,0.833726295731205,0.276,0.377,0.231,0.108,0.395,0.397,0.157,0.04,NA,NA,NA,1.17237903225806,0.840242669362993,3.26102738851305,NA,NA,NA,NA,1.17237903225806,-0.255974619593261,1.17237903225806,-0.255974619593261,1997,"Brasil_01",1,1,"04.Legislativo",-999,"Brazil","Brazil 1998","QoGStdTSjan24",NA,NA,0.66600001,79.781,NA,NA,62.232365,NA,11304.0969954989,1.477874959,NA,NA,NA,NA,NA,61,0,0,0,13,14,1,1,0,2,8,1,78.51,1,NA,8.14,8.14,2.53,NA,0,NA,7
"4","Brasil",2002,2,6,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2,NA,11,NA,1,NA,"Brazil 2002-10-27",79.5299987792969,20.5362143053255,15.9806121758566,94.4833335876465,29.0425927903917,NA,"Luiz Inacio Lula da Silva","Luiz Inacio Lula da Silva","Jose Serra",2001,1998,0.294642857142857,4,1,0,0.25,0,1989,3,2,2,7,1.09330628803245,0.573787409700722,1,0,-0.341380899375851,-0.251089104130826,0.954506182423819,0.780028474929489,0.319,0.344,0.235,0.088,0.563,0.282,0.098,0.026,3.43085106382979,4,0.778098306513712,1.09330628803245,0.573787409700722,3.43085106382979,NA,NA,NA,NA,1.09330628803245,-0.341380899375851,1.09330628803245,-0.341380899375851,1997,"Brasil_01",1,1,"04.Legislativo",-999,"Brazil","Brazil 2002","QoGStdTSjan24",0.82999998,NA,0.69199997,81.88,NA,NA,62.861839,NA,11739.4318434051,9.149425086,0.17377999,NA,NA,NA,NA,67,3,0,0,17,18,1,1,0,2,8,1,79.53,1,0.49351177,9.28,9.34556613687617,3.16,NA,0,NA,7
"5","Brasil",2006,2,7,4,1,4,4,4,1,1,1,4,4,4,1,1,1,3,NA,15,NA,1,NA,"Brazil 2006-10-29",81.0100021362305,12.6269068069026,15.315935470003,93.6428571428571,17.8571428571429,NA,"Luiz Inacio Lula da Silva","Luiz Inacio Lula da Silva","Geraldo Alckmin",2005,2002,0.5625,2,1,0,0.5,0,1989,3,2,2,7,1.74264087468461,0.857751277683135,2,1,0.359963817103137,0.0838013179683264,0.905114586033028,0.862817438957617,0.0980066445182724,0.269933554817276,0.4078073089701,0.211794019933555,0.401162790697674,0.352159468438538,0.181063122923588,0.0406976744186047,3.16819571865443,3,0.860260820927274,1.74264087468461,0.857751277683135,3.16819571865443,2006,5.20282626766417,0.413454922008154,3.00201876261727,1.74264087468461,0.359963817103137,1.74264087468461,0.359963817103137,1997,"Brasil_01",1,1,"04.Legislativo",-999,"Brazil","Brazil 2006","QoGStdTSjan24",NA,89.6152267456055,0.69999999,83.143,1.7884568,2.0401216,63.57346,NA,12877.4441830466,28.17838018,NA,NA,2.2916877,2.2452362,NA,66,0,0,0,21,22,1,1,0,2,8,1,81.01,1,0.33401638,10.62,10.639774551189,2.41,1.7658315,0,NA,NA
"6","Brasil",2010,2,9,4,1,4,4,4,1,1,1,7,4,6,1,1,1,4,NA,22,NA,1,NA,"Brazil 2010-10-31",78.5,6.95231028667327,8.55598827599958,89.3935901935284,9.83205149723932,NA,"Dilma Rousseff","Dilma Rousseff","Jose Serra",2009,2006,0.472069597069597,7,2,0,0.285714285714286,0,1989,3,2,2,7,1.6234096692112,0.882805816937553,2,1,0.231182480459206,0.113349180117224,0.865679264159302,0.894687707110031,0.122923588039867,0.251661129568106,0.475913621262458,0.128737541528239,0.402823920265781,0.328073089700997,0.191029900332226,0.0490033222591362,3.11873350923483,3,0.898439069044949,1.6234096692112,0.882805816937553,3.11873350923483,2010,5.21995094031071,0.422882739841995,3.01425067165051,1.6234096692112,0.231182480459206,1.6234096692112,0.231182480459206,2009,"Brasil_02",1,1,"04.Legislativo",-999,"Brazil","Brazil 2010","QoGStdTSjan24",NA,90.3791809082031,0.72299999,84.335,NA,NA,64.213318,74.1,14824.7411544273,40.65,NA,NA,NA,NA,NA,64,0,0,0,25,26,1,1,0,2,8,1,78.5,NA,0.47985902,11.26,11.2622193006489,2.75,NA,0,NA,NA
"7","Brasil",2014,2,11,4,1,4,4,4,1,1,1,13,10,13,1,1,1,5,NA,35,NA,1,NA,"Brazil 2014-10-26",78.9,1.69326243275523,2.31335543172203,91.7894736842105,2.39463469705931,"Dilma Rousseff","Dilma Rousseff","Dilma Rousseff","Aecio Neves",2013,2010,0.708333333333333,6,5,3,0.833333333333333,0.5,1989,3,2,2,7,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,1.43701727855436,0.68271992415828,NA,2014,NA,NA,NA,NA,NA,1.43701727855436,0.0298605101433271,2013,"Brasil_03",1,1,"04.Legislativo",-999,"Brazil","Brazil 2014","QoGStdTSjan24",NA,91.7294311523438,0.75400001,85.492,1.798678,2.0639226,64.749565,NA,15695.6431041785,54.55100188,NA,NA,2.2754276,2.1656523,NA,NA,0,0,0,29,30,1,1,0,2,8,1,78.9,NA,0.27257183,14.13547,14.13547,3.021264,1.5799335,0,NA,NA
"8","Brasil",2018,2,13,0,0,0,0,0,0,0,0,9,9,9,1,1,1,6,NA,44,NA,1,NA,"Brazil 2018-10-28",78.7,8.91543799946039,7.25491557497398,86.4666666666667,12.6083333333333,"Fernando Haddad","Jair Bolsonaro","Jair Bolsonaro","Fernando Haddad",2017,2014,0.825,5,4,2,0.8,0.4,1989,3,2,2,7,NA,0.408094435075885,NA,0,NA,-0.446497733423102,NA,0.670337337725382,0,0,0,0,0.664730290456432,0.257261410788382,0.0423236514522822,0.0199170124481328,NA,NA,NA,1.44491552916271,0.408094435075885,NA,NA,NA,NA,NA,NA,NA,1.44491552916272,0.0383913915216868,2017,"Brasil_05",1,1,"04.Legislativo",-999,"Brazil","Brazil 2018","QoGStdTSjan24",NA,93.2275009155273,0.764,86.569,1.8057048,2.1672843,65.231606,NA,14619.5911298271,70.43428254,NA,NA,2.1066732,2.0356181,NA,NA,0,0,0,33,34,1,1,0,NA,8,1,79.67,NA,0.15975855,NA,NA,NA,1.4696647,0,NA,NA
"9","Brasil",2022,2,11,2,1,2,2,2,1,1,1,7,2,6,1,1,1,7,NA,51,NA,1,NA,"Brasil 2022-10-30",79.41,5.16613918206654,1.27279220613578,91.1951807228916,7.30602409638554,"Jair Bolsonaro","Luiz Inacio Lula da Silva","Luiz Inacio Lula da Silva","Jair Bolsonaro",2021,2018,0.729166666666667,6,6,6,1,1,1989,3,2,2,7,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,1.20749160177126,0.746927942735572,NA,NA,NA,NA,NA,NA,NA,1.20749160177127,-0.218049618189825,NA,NA,NA,NA,NA,NA,"Brazil","Brazil 2022","QoGStdTSjan24",NA,94.6900024414062,NA,87.555,NA,NA,NA,NA,15093.4651170661,80.52775094,NA,55.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,79.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Argentina",1983,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,1979,0.166666666666667,5,0,0,0,0,2015,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Argentina","Argentina 1983","QoGStdTSjan24",NA,NA,NA,84.194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,0,0,0,0,1,1,4,1,4,8,1,85.61,1,NA,2.63,2.63,2.3,NA,1,NA,1
