cat_pais,year,ncat_ronda,dico_debates_eleccion,eng_cat_pais
Brasil,1958,0,NA,Brazil
Brasil,1959,0,NA,Brazil
Brasil,1960,0,NA,Brazil
Brasil,1961,0,NA,Brazil
Brasil,1962,0,NA,Brazil
Brasil,1963,0,NA,Brazil
Brasil,1964,0,NA,Brazil
Brasil,1965,0,NA,Brazil
Brasil,1966,0,NA,Brazil
Brasil,1967,0,NA,Brazil
Brasil,1968,0,NA,Brazil
Brasil,1969,0,NA,Brazil
Brasil,1970,0,NA,Brazil
Brasil,1971,0,NA,Brazil
Brasil,1972,0,NA,Brazil
Brasil,1973,0,NA,Brazil
Brasil,1974,0,NA,Brazil
Brasil,1975,0,NA,Brazil
Brasil,1976,0,NA,Brazil
Brasil,1977,0,NA,Brazil
Brasil,1978,0,NA,Brazil
Brasil,1979,0,NA,Brazil
Brasil,1980,0,NA,Brazil
Brasil,1981,0,NA,Brazil
Brasil,1982,0,NA,Brazil
Brasil,1983,0,NA,Brazil
Brasil,1984,0,NA,Brazil
Brasil,1985,0,NA,Brazil
Brasil,1986,0,NA,Brazil
Brasil,1987,0,NA,Brazil
Brasil,1988,0,NA,Brazil
Brasil,1989,2,1,Brazil
Brasil,1989,1,1,Brazil
Brasil,1990,0,NA,Brazil
Brasil,1991,0,NA,Brazil
Brasil,1992,0,NA,Brazil
Brasil,1993,0,NA,Brazil
Brasil,1994,1,1,Brazil
Brasil,1995,0,NA,Brazil
Brasil,1996,0,NA,Brazil
Brasil,1997,0,NA,Brazil
Brasil,1998,1,0,Brazil
Brasil,1999,0,NA,Brazil
Brasil,2000,0,NA,Brazil
Brasil,2001,0,NA,Brazil
Brasil,2002,2,1,Brazil
Brasil,2002,1,1,Brazil
Brasil,2003,0,NA,Brazil
Brasil,2004,0,NA,Brazil
Brasil,2005,0,NA,Brazil
Brasil,2006,2,1,Brazil
Brasil,2006,1,1,Brazil
Brasil,2007,0,NA,Brazil
Brasil,2008,0,NA,Brazil
Brasil,2009,0,NA,Brazil
Brasil,2010,2,1,Brazil
Brasil,2010,1,1,Brazil
Brasil,2011,0,NA,Brazil
Brasil,2012,0,NA,Brazil
Brasil,2013,0,NA,Brazil
Brasil,2014,2,1,Brazil
Brasil,2014,1,1,Brazil
Brasil,2015,0,NA,Brazil
Brasil,2016,0,NA,Brazil
Brasil,2017,0,NA,Brazil
Brasil,2018,2,0,Brazil
Brasil,2018,1,1,Brazil
Brasil,2019,0,NA,Brazil
Brasil,2020,0,NA,Brazil
Brasil,2021,0,NA,Brazil
Brasil,2022,2,1,Brazil
Brasil,2022,1,1,Brazil
Brasil,2023,0,NA,Brazil
Brasil,2024,0,NA,Brazil
Chile,1958,0,NA,Chile
Chile,1959,0,NA,Chile
Chile,1960,0,NA,Chile
Chile,1961,0,NA,Chile
Chile,1962,0,NA,Chile
Chile,1963,0,NA,Chile
Chile,1964,0,NA,Chile
Chile,1965,0,NA,Chile
Chile,1966,0,NA,Chile
Chile,1967,0,NA,Chile
Chile,1968,0,NA,Chile
Chile,1969,0,NA,Chile
Chile,1970,0,NA,Chile
Chile,1971,0,NA,Chile
Chile,1972,0,NA,Chile
Chile,1973,0,NA,Chile
Chile,1974,0,NA,Chile
Chile,1975,0,NA,Chile
Chile,1976,0,NA,Chile
Chile,1977,0,NA,Chile
Chile,1978,0,NA,Chile
Chile,1979,0,NA,Chile
Chile,1980,0,NA,Chile
Chile,1981,0,NA,Chile
Chile,1982,0,NA,Chile
Chile,1983,0,NA,Chile
Chile,1984,0,NA,Chile
Chile,1985,0,NA,Chile
Chile,1986,0,NA,Chile
Chile,1987,0,NA,Chile
Chile,1988,0,NA,Chile
Chile,1989,1,1,Chile
Chile,1990,0,NA,Chile
Chile,1991,0,NA,Chile
Chile,1992,0,NA,Chile
Chile,1993,1,1,Chile
Chile,1994,0,NA,Chile
Chile,1995,0,NA,Chile
Chile,1996,0,NA,Chile
Chile,1997,0,NA,Chile
Chile,1998,0,NA,Chile
Chile,1999,0,NA,Chile
Chile,2000,2,0,Chile
Chile,2000,1,1,Chile
Chile,2001,0,NA,Chile
Chile,2002,0,NA,Chile
Chile,2003,0,NA,Chile
Chile,2004,0,NA,Chile
Chile,2005,0,NA,Chile
Chile,2006,2,1,Chile
Chile,2006,1,1,Chile
Chile,2007,0,NA,Chile
Chile,2008,0,NA,Chile
