"","cat_pais","ncat_eleccion","ncat_ronda","nombres_candidatos","anio","vote_share","vs_vote_share","party_name","vs_party_name","status","vs_status","source_str_vote_share","source_url_vote_share"
"1","Brasil",1989,1,"Leonel Brizola",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Brasil",1989,1,"Luiz Inacio Lula da Silva",1989,"17,2","16,08","Partido de los Trabajadores","PT",NA,NA,"Friedenberg (2016a)",""
"3","Brasil",1989,1,"Mario Covas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Brasil",1989,1,"Paulo Maluf",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Brasil",1989,1,"Aureliano Chaves",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Brasil",1989,1,"Guilherme Afif Domingos",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Brasil",1989,1,"Roberto Freire",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Brasil",1989,1,"Ronaldo Caiado",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Brasil",1989,1,"Affonso Camargo",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Brasil",1989,1,"Ulysses Guimaraes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Brasil",1989,2,"Fernando Collor de Mello",1989,"53,03",NA,"PRN",NA,"Desafiante",NA,"Friedenberg (2016a)",""
"12","Brasil",1989,2,"Luiz Inacio Lula da Silva",1989,"46,97",NA,"Partido de los Trabajadores",NA,NA,NA,"Friedenberg (2016a)",""
"13","Brasil",1994,1,"Fernando Henrique Cardoso",1994,"54,27","54,28","Unión Trabajo y Progreso (PSDB)","PSDB","Desafiante",NA,"Friedenberg (2016a)",""
"14","Brasil",1994,1,"Leonel Brizola",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Brasil",1994,1,"Eneas Ferreira Carneiro",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Brasil",1994,1,"Esperidiao Amin",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Brasil",1994,1,"Flavio Gurgel Rocha",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Brasil",1994,1,"Hernani Goulart Fortuna",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Brasil",1994,1,"Luiz Inacio Lula da Silva",1994,"27,04","27,04","Partido de los Trabajadores","PT","Desafiante","Desafiante","Friedenberg (2016a)",""
"20","Brasil",1994,1,"Orestes Quercia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Brasil",1994,1,"Eneas Carneiro",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Brasil",2002,1,"Luiz Inacio Lula da Silva",2002,"46,44","46,4","Partido de los Trabajadores","PT","Desafiante","Desafiante","Friedenberg (2016a)",""
"23","Brasil",2002,1,"Jose Serra",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Brasil",2002,1,"Ciro Gomes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Brasil",2002,1,"Anthony Garotinho",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Brasil",2002,2,"Luiz Inacio Lula da Silva",2002,"61,27",NA,"Partido de los Trabajadores",NA,"Desafiante",NA,"Friedenberg (2016a)",""
"27","Brasil",2002,2,"Jose Serra",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Brasil",2006,1,"Geraldo Alckmin",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Brasil",2006,1,"Jose Maria Eymael",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Brasil",2006,1,"Luciano Bivar",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Brasil",2006,1,"Cristovam Buarque",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Brasil",2006,1,"Heloisa Helena",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Brasil",2006,2,"Geraldo Alckmin",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Brasil",2006,2,"Luiz Inacio Lula da Silva",2006,"60,83",NA,"Partido de los Trabajadores",NA,"Incumbent",NA,"Friedenberg (2016a)",""
"35","Brasil",2010,1,"Marina Silva",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Brasil",2010,1,"Jose Serra",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Brasil",2010,1,"Dilma Rousseff",2010,"46,91",NA,"Que Brasil siga cambiando (PT)","PT","Incumbent",NA,"Friedenberg (2016a)",""
"38","Brasil",2010,1,"Plinio Sampaio",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Brasil",2010,2,"Jose Serra",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Brasil",2010,2,"Dilma Rousseff",2010,"56,05",NA,"Que Brasil siga cambiando (PT)","PT","Incumbent",NA,"Friedenberg (2016a)",""
"41","Brasil",2014,1,"Dilma Rousseff",2014,"41,59",NA,"Que Brasil siga cambiando (PT)","PT","Incumbent",NA,"Friedenberg (2016a)",""
"42","Brasil",2014,1,"Aecio Neves",2014,"33,55",NA,"PSDB","PSDB","Desafiante",NA,"Friedenberg (2016a)",""
"43","Brasil",2014,1,"Marina Silva",2014,"21,3","","PSB","PSB","Desafiante","","Friedenberg (2016a)",""
"44","Brasil",2014,1,"Luciana Genro",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Brasil",2014,1,"Pastor Everaldo",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Brasil",2014,1,"Levy Fidelix",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Brasil",2014,1,"Eduardo Jorge",NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Brasil",2014,1,"Jose Maria Eymael",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Brasil",2014,2,"Dilma Rousseff",2014,"51,64",NA,"Con la Fuerza del Pueblo (PT)",NA,"Incumbent",NA,"Friedenberg (2016a)",""
"50","Brasil",2014,2,"Aecio Neves",2014,"48,36",NA,"PSDB","PSDB","Desafiante",NA,"Friedenberg (2016a)",""
"51","Brasil",2018,1,"Alvaro Dias",NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Brasil",2018,1,"Geraldo Alckmin",NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Brasil",2018,1,"Marina Silva",NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Brasil",2018,1,"Henrique Meirelles",NA,NA,NA,NA,NA,NA,NA,NA,NA
