"","cat_pais","ncat_eleccion","ncat_ronda","dico_debates_eleccion","eng_cat_pais","candidate_name","vote_share","party_name","status","compilador_vote_share","source_url_vote_share","source_str_vote_share"
"1","Argentina",1983,1,0,"Argentina","Raúl Alfonsín","51,75","Unión Cívica Radical (UCR) - UCR","Desafiante",NA,"","Friedenberg (2016a)"
"2","Argentina",1983,1,0,"Argentina","Italo Luder","40,16","Partido Justicialista (PJ) - PJ","Desafiante",NA,"","Friedenberg (2016a)"
"3","Argentina",1983,1,0,"Argentina","Oscar Alende","2,33","PI - ","Desafiante",NA,"","Friedenberg (2016a)"
"4","Argentina",1989,1,0,"Argentina","Carlos Menem","47,51","Frente Justicialista - PJ","Desafiante",NA,"","Friedenberg (2016a)"
"5","Argentina",1989,1,0,"Argentina","Eduardo Angeloz","37,1","Unión Cívica Radical (UCR) - UCR","Incumbente",NA,"","Friedenberg (2016a)"
"6","Argentina",1989,1,0,"Argentina","Alvaro Alzogaray","6,87","ADC (UCEDE) - ","Desafiante",NA,"","Friedenberg (2016a)"
"7","Argentina",1995,1,0,"Argentina","Carlos Menem","49,94","Partido Justicialista (PJ) - PJ","Incumbent",NA,"","Friedenberg (2016a)"
"8","Argentina",1995,1,0,"Argentina","Jose Octavio Bordon","29,3","FREPASO - FREPASO","Desafiante",NA,"","Friedenberg (2016a)"
"9","Argentina",1995,1,0,"Argentina","Horacio Massaccesi ","16,99","Unión Cívica Radical (UCR) - ","Desafiante",NA,"","Friedenberg (2016a)"
"10","Argentina",1999,1,0,"Argentina","Fernando de la Rúa","48,37","Unión Cívica Radical (UCR) - Alianza","Desafiante",NA,"","Friedenberg (2016a)"
"11","Argentina",1999,1,0,"Argentina","Eduardo Dhualde","38,27","Partido Justicialista (PJ) - PJ","Incumbente",NA,"","Friedenberg (2016a)"
"12","Argentina",1999,1,0,"Argentina","Domingo Cavallo","10,22","APR - ","Desafiante",NA,"","Friedenberg (2016a)"
"13","Argentina",2003,1,0,"Argentina","Carlos Menem","24,45","FL (PJ) - NA","",NA,"","Friedenberg (2016a)"
"14","Argentina",2003,1,0,"Argentina","Nestor Kirchner","22,25","Frente para la Victoria - NA","",NA,"","Friedenberg (2016a)"
"15","Argentina",2003,1,0,"Argentina","Leopoldo Moreau","2,3","Unión Cívica Radical (UCR) - ","",NA,"","Friedenberg (2016a)"
"16","Argentina",2003,1,0,"Argentina","Ricardo López Murphy","16,3","Recrear - ","",NA,"","Friedenberg (2016a)"
"17","Argentina",2007,1,0,"Argentina","Cristina Fernández","45,28","Frente para la Victoria - PJ","Incumbent",NA,"","Friedenberg (2016a)"
"18","Argentina",2007,1,0,"Argentina","Elisa Carrió","23,05","Coalición Cívica - NA","Desafiante",NA,"","Friedenberg (2016a)"
"19","Argentina",2007,1,0,"Argentina","Roberto Lavagna","16,91"," - ","Desafiante",NA,"","Friedenberg (2016a)"
"20","Argentina",2011,1,0,"Argentina","Cristina Fernández","54,11","Frente para la Victoria - NA","Incumbent",NA,"","Friedenberg (2016a)"
"21","Argentina",2011,1,0,"Argentina","Hermes Binner","16,81","Frente Amplio Progresista FAP - NA","Desafiante",NA,"","Friedenberg (2016a)"
"22","Argentina",2011,1,0,"Argentina","Ricardo Alfonsin","11,14","Unión Cívica Radical (UCR) - ","Desafiante",NA,"","Friedenberg (2016a)"
