"","cat_pais","ncat_eleccion","ncat_ronda","democraciappolity","source_democraciappolity","democraciavdemelectoralcomp","source_democraciavdemelectoralcomp","democraciavdempolyarchy","source_vdem_polyarchy"
"1","El Salvador",2024,1,8,"Proyectado. Último valor disponible base Qof p_polity2",0.542,"Proyectado. Último valor disponible base Qof vdem_edcomp_thick",0.378,"Proyectado. Último valor disponible base Qof vdem_polyarchy"
"2","Argentina",2023,2,9,"Proyectado. Último valor disponible base Qof p_polity2",0.876,"Proyectado. Último valor disponible base Qof vdem_edcomp_thick",0.823,"Proyectado. Último valor disponible base Qof vdem_polyarchy"
"3","Argentina",2023,1,9,"Proyectado. Último valor disponible base Qof p_polity2",0.876,"Proyectado. Último valor disponible base Qof vdem_edcomp_thick",0.823,"Proyectado. Último valor disponible base Qof vdem_polyarchy"
"4","Ecuador",2023,2,5,"Proyectado. Último valor disponible base Qof p_polity2",0.729,"Proyectado. Último valor disponible base Qof vdem_edcomp_thick",0.657,"Proyectado. Último valor disponible base Qof vdem_polyarchy"
"5","Ecuador",2023,1,5,"Proyectado. Último valor disponible base Qof p_polity2",0.729,"Proyectado. Último valor disponible base Qof vdem_edcomp_thick",0.657,"Proyectado. Último valor disponible base Qof vdem_polyarchy"
"6","Guatemala",2023,2,8,"Proyectado. Último valor disponible base Qof p_polity2",0.55,"Proyectado. Último valor disponible base Qof vdem_edcomp_thick",0.435,"Proyectado. Último valor disponible base Qof vdem_polyarchy"
"7","Guatemala",2023,1,8,"Proyectado. Último valor disponible base Qof p_polity2",0.55,"Proyectado. Último valor disponible base Qof vdem_edcomp_thick",0.435,"Proyectado. Último valor disponible base Qof vdem_polyarchy"
"8","Paraguay",2023,1,9,"Proyectado. Último valor disponible base Qof p_polity2",0.681,"Proyectado. Último valor disponible base Qof vdem_edcomp_thick",0.581,"Proyectado. Último valor disponible base Qof vdem_polyarchy"
"9","Brasil",2022,2,8,"Proyectado. Último valor disponible base Qof p_polity2",0.844,"Base Qof vdem_edcomp_thick",0.678,"Base Qof vdem_polyarchy"
"10","Brasil",2022,1,8,"Proyectado. Último valor disponible base Qof p_polity2",0.844,"Base Qof vdem_edcomp_thick",0.678,"Base Qof vdem_polyarchy"
