"","cat_pais","ncat_eleccion","ncat_ronda","edadregimenppolity","source_edadregimenppolity","edadregimenbmr","source_edadregimenbmr","edadregimenmainw","source_edadregimenmainw","edadregimenfilled","source_edadregimenfilled"
"1","Argentina",1983,1,0,"Base Qof p_durable",1,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",1,"1"
"2","Argentina",1989,1,6,"Base Qof p_durable",7,"Base Qof bmr_demdur",6,"Mainwaring & Su (2021) - age_demo",7,"7"
"3","Argentina",1995,1,12,"Base Qof p_durable",13,"Base Qof bmr_demdur",12,"Mainwaring & Su (2021) - age_demo",13,"13"
"4","Argentina",1999,1,16,"Base Qof p_durable",17,"Base Qof bmr_demdur",16,"Mainwaring & Su (2021) - age_demo",17,"17"
"5","Argentina",2003,1,20,"Base Qof p_durable",21,"Base Qof bmr_demdur",20,"Mainwaring & Su (2021) - age_demo",21,"21"
"6","Argentina",2007,1,24,"Base Qof p_durable",25,"Base Qof bmr_demdur",24,"Mainwaring & Su (2021) - age_demo",25,"25"
"7","Argentina",2011,1,28,"Base Qof p_durable",29,"Base Qof bmr_demdur",28,"Mainwaring & Su (2021) - age_demo",29,"29"
"8","Argentina",2015,2,32,"Base Qof p_durable",33,"Base Qof bmr_demdur",32,"Mainwaring & Su (2021) - age_demo",33,"33"
"9","Argentina",2015,1,32,"Base Qof p_durable",33,"Base Qof bmr_demdur",32,"Mainwaring & Su (2021) - age_demo",33,"33"
"10","Argentina",2019,1,NA,NA,37,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",37,"37"
"11","Argentina",2023,2,NA,NA,NA,NA,NA,"Mainwaring & Su (2021) - age_demo",41,"41"
"12","Argentina",2023,1,NA,NA,NA,NA,NA,"Mainwaring & Su (2021) - age_demo",41,"41"
"13","Bolivia",1978,1,0,"Base Qof p_durable",154,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",NA,"Dato perdido a propósito. Elección considerada híbrida por bmr_demdur"
"14","Bolivia",1979,1,1,"Base Qof p_durable",1,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",1,"1"
"15","Bolivia",1980,1,0,"Base Qof p_durable",1,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",1,"1"
"16","Bolivia",1985,1,0,"Base Qof p_durable",4,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",4,"4"
"17","Bolivia",1989,1,4,"Base Qof p_durable",8,"Base Qof bmr_demdur",4,"Mainwaring & Su (2021) - age_demo",8,"8"
"18","Bolivia",1993,1,8,"Base Qof p_durable",12,"Base Qof bmr_demdur",8,"Mainwaring & Su (2021) - age_demo",12,"12"
"19","Bolivia",1997,1,12,"Base Qof p_durable",16,"Base Qof bmr_demdur",12,"Mainwaring & Su (2021) - age_demo",16,"16"
"20","Bolivia",2002,1,17,"Base Qof p_durable",21,"Base Qof bmr_demdur",17,"Mainwaring & Su (2021) - age_demo",21,"21"
"21","Bolivia",2005,1,20,"Base Qof p_durable",24,"Base Qof bmr_demdur",20,"Mainwaring & Su (2021) - age_demo",24,"24"
"22","Bolivia",2009,1,24,"Base Qof p_durable",28,"Base Qof bmr_demdur",24,"Mainwaring & Su (2021) - age_demo",28,"28"
"23","Bolivia",2014,1,29,"Base Qof p_durable",33,"Base Qof bmr_demdur",29,"Mainwaring & Su (2021) - age_demo",33,"33"
"24","Bolivia",2019,1,NA,NA,38,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",38,"38"
"25","Bolivia",2020,1,NA,NA,39,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",39,"39"
"26","Brasil",1989,2,4,"Base Qof p_durable",5,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",5,"5"
"27","Brasil",1989,1,4,"Base Qof p_durable",5,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",5,"5"
"28","Brasil",1994,1,9,"Base Qof p_durable",10,"Base Qof bmr_demdur",5,"Mainwaring & Su (2021) - age_demo",10,"10"
"29","Brasil",1998,1,13,"Base Qof p_durable",14,"Base Qof bmr_demdur",9,"Mainwaring & Su (2021) - age_demo",14,"14"
"30","Brasil",2002,2,17,"Base Qof p_durable",18,"Base Qof bmr_demdur",13,"Mainwaring & Su (2021) - age_demo",18,"18"
"31","Brasil",2002,1,17,"Base Qof p_durable",18,"Base Qof bmr_demdur",13,"Mainwaring & Su (2021) - age_demo",18,"18"
"32","Brasil",2006,2,21,"Base Qof p_durable",22,"Base Qof bmr_demdur",17,"Mainwaring & Su (2021) - age_demo",22,"22"
"33","Brasil",2006,1,21,"Base Qof p_durable",22,"Base Qof bmr_demdur",17,"Mainwaring & Su (2021) - age_demo",22,"22"
"34","Brasil",2010,2,25,"Base Qof p_durable",26,"Base Qof bmr_demdur",21,"Mainwaring & Su (2021) - age_demo",26,"26"
