"","cat_pais","ncat_eleccion","ncat_ronda","gdpxcapita","source_gdp","gdpxcapita2","source_gdpxcapita2"
"1","Argentina",1983,1,9622.34731895272,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",NA,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"2","Argentina",1989,1,8473.02656895128,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",7154.41015625,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"3","Argentina",1995,1,9969.33157579723,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",6173.68017578125,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"4","Argentina",1999,1,10880.2062074837,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",7630.02001953125,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"5","Argentina",2003,1,9581.96979219468,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",8339.8896484375,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"6","Argentina",2007,1,12857.0925770961,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",7337.7900390625,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"7","Argentina",2011,1,14200.2698890608,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",9830.6796875,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"8","Argentina",2015,1,13789.060424772,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",10780.01953125,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"9","Argentina",2015,2,13789.060424772,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",10780.01953125,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"10","Argentina",2019,1,12716.2242038544,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",NA,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"11","Argentina",2023,1,12625.4695509096,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",NA,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"12","Argentina",2023,2,12625.4695509096,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",NA,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"13","Bolivia",1978,1,2184.04869854282,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",NA,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"14","Bolivia",1979,1,2138.52835477203,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",NA,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"15","Bolivia",1980,1,2062.96904633706,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",NA,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"16","Bolivia",1985,1,1680.79401809447,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",NA,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"17","Bolivia",1989,1,1646.80916412334,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",1343.78002929688,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"18","Bolivia",1993,1,1770.77689865406,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",1323.78002929688,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"19","Bolivia",1997,1,1970.1680814491,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",1428.36999511719,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"20","Bolivia",2002,1,2029.61794375322,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",1584.11999511719,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"21","Bolivia",2005,1,2152.36196979617,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",1623.52001953125,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"22","Bolivia",2009,1,2414.12994536401,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",1720.09997558594,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"23","Bolivia",2014,1,2882.80689613638,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",1933.73999023438,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"24","Bolivia",2019,1,3242.94884532224,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",NA,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
