"","cat_pais","ncat_eleccion","ncat_ronda","mediaqualitycorruptvdem","source_mediaqualitycorruptvdem","mediaqualityconftvwvs","source_mediaqualityconftvwvs","mediaqualitybiasnelda","source_mediaqualitybiasnelda","mediaqualityfreedombti","source_mediaqualityfreedombti"
"1","El Salvador",2024,1,2.02,"Proyectado. Último valor disponible base Qof vdem_mecorrpt",2.5460367,"Proyectado. Último valor disponible base Qof wvs_conftv",0,"Proyectado. Último valor disponible base Qof nelda_mbbe",7,"Proyectado. Último valor disponible base Qof bti_foe"
"2","Argentina",2023,2,2.952,"Proyectado. Último valor disponible base Qof vdem_mecorrpt",2.1381154,"Proyectado. Último valor disponible base Qof wvs_conftv",0,"Proyectado. Último valor disponible base Qof nelda_mbbe",9,"Proyectado. Último valor disponible base Qof bti_foe"
"3","Argentina",2023,1,2.952,"Proyectado. Último valor disponible base Qof vdem_mecorrpt",2.1381154,"Proyectado. Último valor disponible base Qof wvs_conftv",0,"Proyectado. Último valor disponible base Qof nelda_mbbe",9,"Proyectado. Último valor disponible base Qof bti_foe"
"4","Ecuador",2023,2,2.402,"Proyectado. Último valor disponible base Qof vdem_mecorrpt",2.2991598,"Proyectado. Último valor disponible base Qof wvs_conftv",0,"Proyectado. Último valor disponible base Qof nelda_mbbe",7,"Proyectado. Último valor disponible base Qof bti_foe"
"5","Ecuador",2023,1,2.402,"Proyectado. Último valor disponible base Qof vdem_mecorrpt",2.2991598,"Proyectado. Último valor disponible base Qof wvs_conftv",0,"Proyectado. Último valor disponible base Qof nelda_mbbe",7,"Proyectado. Último valor disponible base Qof bti_foe"
"6","Guatemala",2023,2,2.822,"Proyectado. Último valor disponible base Qof vdem_mecorrpt",2.0374289,"Proyectado. Último valor disponible base Qof wvs_conftv",1,"Proyectado. Último valor disponible base Qof nelda_mbbe",5,"Proyectado. Último valor disponible base Qof bti_foe"
"7","Guatemala",2023,1,2.822,"Proyectado. Último valor disponible base Qof vdem_mecorrpt",2.0374289,"Proyectado. Último valor disponible base Qof wvs_conftv",1,"Proyectado. Último valor disponible base Qof nelda_mbbe",5,"Proyectado. Último valor disponible base Qof bti_foe"
"8","Paraguay",2023,1,1.871,"Proyectado. Último valor disponible base Qof vdem_mecorrpt",NA,NA,0,"Proyectado. Último valor disponible base Qof nelda_mbbe",6,"Proyectado. Último valor disponible base Qof bti_foe"
"9","Brasil",2022,2,2.713,"Base Qof vdem_mecorrpt",2.0356181,"Proyectado. Último valor disponible base Qof wvs_conftv",0,"Proyectado. Último valor disponible base Qof nelda_mbbe",6,"Proyectado. Último valor disponible base Qof bti_foe"
"10","Brasil",2022,1,2.713,"Base Qof vdem_mecorrpt",2.0356181,"Proyectado. Último valor disponible base Qof wvs_conftv",0,"Proyectado. Último valor disponible base Qof nelda_mbbe",6,"Proyectado. Último valor disponible base Qof bti_foe"
"11","Colombia",2022,2,3.016,"Base Qof vdem_mecorrpt",2.0401316,"Proyectado. Último valor disponible base Qof wvs_conftv",3,"Proyectado. Último valor disponible base Qof nelda_mbbe",7,"Proyectado. Último valor disponible base Qof bti_foe"
"12","Colombia",2022,1,3.016,"Base Qof vdem_mecorrpt",2.0401316,"Proyectado. Último valor disponible base Qof wvs_conftv",3,"Proyectado. Último valor disponible base Qof nelda_mbbe",7,"Proyectado. Último valor disponible base Qof bti_foe"
"13","Costa Rica",2022,2,3.561,"Base Qof vdem_mecorrpt",NA,NA,0,"Proyectado. Último valor disponible base Qof nelda_mbbe",10,"Proyectado. Último valor disponible base Qof bti_foe"
"14","Costa Rica",2022,1,3.561,"Base Qof vdem_mecorrpt",NA,NA,0,"Proyectado. Último valor disponible base Qof nelda_mbbe",10,"Proyectado. Último valor disponible base Qof bti_foe"
"15","Chile",2021,2,3.718,"Base Qof vdem_mecorrpt",2.5692894,"Proyectado. Último valor disponible base Qof wvs_conftv",0,"Proyectado. Último valor disponible base Qof nelda_mbbe",10,"Base Qof bti_foe"
"16","Chile",2021,1,3.718,"Base Qof vdem_mecorrpt",2.5692894,"Proyectado. Último valor disponible base Qof wvs_conftv",0,"Proyectado. Último valor disponible base Qof nelda_mbbe",10,"Base Qof bti_foe"
"17","Ecuador",2021,2,2.848,"Base Qof vdem_mecorrpt",2.2991598,"Proyectado. Último valor disponible base Qof wvs_conftv",0,"Proyectado. Último valor disponible base Qof nelda_mbbe",7,"Base Qof bti_foe"
"18","Ecuador",2021,1,2.848,"Base Qof vdem_mecorrpt",2.2991598,"Proyectado. Último valor disponible base Qof wvs_conftv",0,"Proyectado. Último valor disponible base Qof nelda_mbbe",7,"Base Qof bti_foe"
"19","Honduras",2021,1,1.835,"Base Qof vdem_mecorrpt",NA,NA,1,"Proyectado. Último valor disponible base Qof nelda_mbbe",4,"Base Qof bti_foe"
"20","Peru",2021,2,3.25,"Base Qof vdem_mecorrpt",2.011569,"Proyectado. Último valor disponible base Qof wvs_conftv",0,"Proyectado. Último valor disponible base Qof nelda_mbbe",8,"Base Qof bti_foe"
"21","Peru",2021,1,3.25,"Base Qof vdem_mecorrpt",2.011569,"Proyectado. Último valor disponible base Qof wvs_conftv",0,"Proyectado. Último valor disponible base Qof nelda_mbbe",8,"Base Qof bti_foe"
"22","Bolivia",2020,1,3.156,"Base Qof vdem_mecorrpt",2.1829746,"Proyectado. Último valor disponible base Qof wvs_conftv",0,"Base Qof nelda_mbbe",7,"Proyectado. Último valor disponible base Qof bti_foe"
"23","Republica Dominicana",2020,1,2.642,"Base Qof vdem_mecorrpt",2.3944724,"Proyectado. Último valor disponible base Qof wvs_conftv",0,"Base Qof nelda_mbbe",7,"Proyectado. Último valor disponible base Qof bti_foe"
"24","Argentina",2019,1,3.059,"Base Qof vdem_mecorrpt",2.1381154,"Proyectado. Último valor disponible base Qof wvs_conftv",0,"Base Qof nelda_mbbe",9,"Base Qof bti_foe"
"25","Bolivia",2019,1,2.759,"Base Qof vdem_mecorrpt",2.1829746,"Proyectado. Último valor disponible base Qof wvs_conftv",1,"Base Qof nelda_mbbe",7,"Base Qof bti_foe"
"26","El Salvador",2019,1,2.853,"Base Qof vdem_mecorrpt",2.5460367,"Proyectado. Último valor disponible base Qof wvs_conftv",0,"Base Qof nelda_mbbe",8,"Base Qof bti_foe"
