"","cat_pais","ncat_eleccion","ncat_ronda","polar","source_polar"
"1","Argentina",1983,1,NA,NA
"2","Argentina",1989,1,4.81400012969971,"Mainwaring & Su (2021) - runoff"
"3","Argentina",1995,1,5.62200021743774,"Mainwaring & Su (2021) - runoff"
"4","Argentina",1999,1,2.96499991416931,"Mainwaring & Su (2021) - runoff"
"5","Argentina",2003,1,4.74900007247925,"Mainwaring & Su (2021) - runoff"
"6","Argentina",2007,1,2.97900009155273,"Mainwaring & Su (2021) - runoff"
"7","Argentina",2011,1,2.71006512641907,"Mainwaring & Su (2021) - runoff"
"8","Argentina",2015,1,3.5699999332428,"Mainwaring & Su (2021) - runoff"
"9","Argentina",2015,2,3.5699999332428,"Mainwaring & Su (2021) - runoff"
"10","Argentina",2019,1,NA,NA
"11","Argentina",2023,1,NA,NA
"12","Argentina",2023,2,NA,NA
"13","Bolivia",1978,1,NA,NA
"14","Bolivia",1979,1,NA,NA
"15","Bolivia",1980,1,NA,NA
"16","Bolivia",1985,1,NA,NA
"17","Bolivia",1989,1,4.76200008392334,"Mainwaring & Su (2021) - runoff"
"18","Bolivia",1993,1,5.06799983978271,"Mainwaring & Su (2021) - runoff"
"19","Bolivia",1997,1,4.77400016784668,"Mainwaring & Su (2021) - runoff"
"20","Bolivia",2002,1,4.84000015258789,"Mainwaring & Su (2021) - runoff"
"21","Bolivia",2005,1,6.17600011825562,"Mainwaring & Su (2021) - runoff"
"22","Bolivia",2009,1,5.20599985122681,"Mainwaring & Su (2021) - runoff"
"23","Bolivia",2014,1,5.65299987792969,"Mainwaring & Su (2021) - runoff"
"24","Bolivia",2019,1,NA,NA
"25","Bolivia",2020,1,NA,NA
"26","Brasil",1989,1,NA,NA
"27","Brasil",1989,2,NA,NA
"28","Brasil",1994,1,2.88899993896484,"Mainwaring & Su (2021) - runoff"
"29","Brasil",1998,1,2.86500000953674,"Mainwaring & Su (2021) - runoff"
"30","Brasil",2002,1,2.53900003433228,"Mainwaring & Su (2021) - runoff"
"31","Brasil",2002,2,2.53900003433228,"Mainwaring & Su (2021) - runoff"
"32","Brasil",2006,1,3.57699990272522,"Mainwaring & Su (2021) - runoff"
"33","Brasil",2006,2,3.57699990272522,"Mainwaring & Su (2021) - runoff"
"34","Brasil",2010,1,3.26500010490417,"Mainwaring & Su (2021) - runoff"
"35","Brasil",2010,2,3.26500010490417,"Mainwaring & Su (2021) - runoff"
"36","Brasil",2014,1,3.37400007247925,"Mainwaring & Su (2021) - runoff"
"37","Brasil",2014,2,3.37400007247925,"Mainwaring & Su (2021) - runoff"
"38","Brasil",2018,1,4.2519998550415,"Mainwaring & Su (2021) - runoff"
"39","Brasil",2018,2,4.2519998550415,"Mainwaring & Su (2021) - runoff"
"40","Brasil",2022,1,NA,NA
"41","Brasil",2022,2,NA,NA
"42","Chile",1989,1,NA,NA
"43","Chile",1993,1,4.78000020980835,"Mainwaring & Su (2021) - runoff"
"44","Chile",2000,1,6.56400012969971,"Mainwaring & Su (2021) - runoff"
"45","Chile",2000,2,6.56400012969971,"Mainwaring & Su (2021) - runoff"
"46","Chile",2006,1,5.61399984359741,"Mainwaring & Su (2021) - runoff"
"47","Chile",2006,2,5.61399984359741,"Mainwaring & Su (2021) - runoff"
"48","Chile",2010,1,5.42600011825562,"Mainwaring & Su (2021) - runoff"
"49","Chile",2010,2,5.42600011825562,"Mainwaring & Su (2021) - runoff"
"50","Chile",2013,1,5.35699987411499,"Mainwaring & Su (2021) - runoff"
"51","Chile",2013,2,5.35699987411499,"Mainwaring & Su (2021) - runoff"
"52","Chile",2017,1,6.03599977493286,"Mainwaring & Su (2021) - runoff"
"53","Chile",2017,2,6.03599977493286,"Mainwaring & Su (2021) - runoff"
"54","Chile",2021,1,NA,NA
"55","Chile",2021,2,NA,NA
"56","Colombia",1974,1,4.53200006484985,"Mainwaring & Su (2021) - runoff"
"57","Colombia",1978,1,4.66900014877319,"Mainwaring & Su (2021) - runoff"
"58","Colombia",1982,1,4.39200019836426,"Mainwaring & Su (2021) - runoff"
"59","Colombia",1986,1,4.15799999237061,"Mainwaring & Su (2021) - runoff"
"60","Colombia",1990,1,3.8289999961853,"Mainwaring & Su (2021) - runoff"
"61","Colombia",1994,1,4.41499996185303,"Mainwaring & Su (2021) - runoff"
"62","Colombia",1994,2,4.41499996185303,"Mainwaring & Su (2021) - runoff"
"63","Colombia",1998,1,4.22900009155273,"Mainwaring & Su (2021) - runoff"
"64","Colombia",1998,2,4.22900009155273,"Mainwaring & Su (2021) - runoff"
"65","Colombia",2002,1,5.64499998092651,"Mainwaring & Su (2021) - runoff"
"66","Colombia",2006,1,6.90700006484985,"Mainwaring & Su (2021) - runoff"
"67","Colombia",2010,1,5.5460000038147,"Mainwaring & Su (2021) - runoff"
"68","Colombia",2010,2,5.5460000038147,"Mainwaring & Su (2021) - runoff"
