"","cat_pais","ncat_eleccion","ncat_ronda","runoff","concelec","source_runoff","source_concelec","compulsoryvoting","source_compulsoryvoting"
"1","Argentina",1983,1,NA,NA,NA,NA,1,"Base Qof ideavt_prescv"
"2","Argentina",1989,1,0,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"3","Argentina",1995,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"4","Argentina",1999,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"5","Argentina",2003,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"6","Argentina",2007,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"7","Argentina",2011,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"8","Argentina",2015,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"9","Argentina",2015,2,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"10","Argentina",2019,1,NA,NA,NA,NA,1,"Base Qof ideavt_prescv"
"11","Argentina",2023,1,NA,NA,NA,NA,1,"Base Qof ideavt_prescv"
"12","Argentina",2023,2,NA,NA,NA,NA,1,"Base Qof ideavt_prescv"
"13","Bolivia",1978,1,NA,NA,NA,NA,1,"Base Qof ideavt_prescv"
"14","Bolivia",1979,1,NA,NA,NA,NA,1,"Base Qof ideavt_prescv"
"15","Bolivia",1980,1,NA,NA,NA,NA,1,"Base Qof ideavt_prescv"
"16","Bolivia",1985,1,NA,NA,NA,NA,1,"Base Qof ideavt_prescv"
"17","Bolivia",1989,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"18","Bolivia",1993,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"19","Bolivia",1997,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"20","Bolivia",2002,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"21","Bolivia",2005,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"22","Bolivia",2009,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"23","Bolivia",2014,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"24","Bolivia",2019,1,NA,NA,NA,NA,1,"Base Qof ideavt_prescv"
"25","Bolivia",2020,1,NA,NA,NA,NA,1,"Base Qof ideavt_prescv"
"26","Brasil",1989,1,NA,NA,NA,NA,1,"Base Qof ideavt_prescv"
"27","Brasil",1989,2,NA,NA,NA,NA,1,"Base Qof ideavt_prescv"
"28","Brasil",1994,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"29","Brasil",1998,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"30","Brasil",2002,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"31","Brasil",2002,2,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"32","Brasil",2006,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"33","Brasil",2006,2,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"34","Brasil",2010,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"35","Brasil",2010,2,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"36","Brasil",2014,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"37","Brasil",2014,2,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"38","Brasil",2018,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"39","Brasil",2018,2,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"40","Brasil",2022,1,NA,NA,NA,NA,1,"Base Qof ideavt_prescv"
"41","Brasil",2022,2,NA,NA,NA,NA,1,"Base Qof ideavt_prescv"
"42","Chile",1989,1,NA,NA,NA,NA,1,"Base Qof ideavt_prescv"
"43","Chile",1993,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"44","Chile",2000,1,1,0,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"45","Chile",2000,2,1,0,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"46","Chile",2006,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"47","Chile",2006,2,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"48","Chile",2010,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"49","Chile",2010,2,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"50","Chile",2013,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",0,"Base Qof ideavt_prescv"
"51","Chile",2013,2,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",0,"Base Qof ideavt_prescv"
"52","Chile",2017,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",0,"Base Qof ideavt_prescv"
