"","cat_pais","ncat_eleccion","ncat_ronda","dico_debates_eleccion","eng_cat_pais","gdpxcapita","source_gdp","gdpxcapita2","source_gdpxcapita2","urbanpop","source_urbanpop","undphdi","source_undphdi","runoff","concelec","source_runoff","source_concelec","compulsoryvoting","source_compulsoryvoting","polar","source_polar","edadregimenppolity","source_edadregimenppolity","edadregimenbmr","source_edadregimenbmr","edadregimenmainw","source_edadregimenmainw","edadregimenfilled","source_edadregimenfilled","democraciappolity","source_democraciappolity","democraciavdemelectoralcomp","source_democraciavdemelectoralcomp","democraciavdempolyarchy","source_vdem_polyarchy","mediaqualitycorruptvdem","source_mediaqualitycorruptvdem","mediaqualityconftvwvs","source_mediaqualityconftvwvs","mediaqualitybiasnelda","source_mediaqualitybiasnelda","mediaqualityfreedombti","source_mediaqualityfreedombti","turnout","source_turnout"
"1","Argentina",1983,1,0,"Argentina",9622.34731895272,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",NA,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",84.194,"Base Qof wdi_popurb",NA,NA,NA,NA,NA,NA,1,"Base Qof ideavt_prescv",NA,NA,0,"Base Qof p_durable",1,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",1,"1",8,"Base Qof p_polity2",0.231,"Base Qof vdem_edcomp_thick",0.195,"Base Qof vdem_polyarchy",1.043,"Base Qof vdem_mecorrpt",NA,NA,0,"Base Qof nelda_mbbe",NA,NA,85.61,"Base Qof ideavt_presvt"
"2","Argentina",1989,1,0,"Argentina",8473.02656895128,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",7154.41015625,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",86.613,"Base Qof wdi_popurb",0.72299999,"Proyectado. Último valor disponible base Qof undp_hdi",0,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv",4.81400012969971,"Mainwaring & Su (2021) - runoff",6,"Base Qof p_durable",7,"Base Qof bmr_demdur",6,"Mainwaring & Su (2021) - age_demo",7,"7",7,"Base Qof p_polity2",0.87,"Base Qof vdem_edcomp_thick",0.834,"Base Qof vdem_polyarchy",2.704,"Base Qof vdem_mecorrpt",NA,NA,0,"Base Qof nelda_mbbe",NA,NA,85.31,"Base Qof ideavt_presvt"
"3","Argentina",1995,1,0,"Argentina",9969.33157579723,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",6173.68017578125,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",88.164,"Base Qof wdi_popurb",0.745,"Base Qof undp_hdi",1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv",5.62200021743774,"Mainwaring & Su (2021) - runoff",12,"Base Qof p_durable",13,"Base Qof bmr_demdur",12,"Mainwaring & Su (2021) - age_demo",13,"13",7,"Base Qof p_polity2",0.871,"Base Qof vdem_edcomp_thick",0.835,"Base Qof vdem_polyarchy",2.008,"Base Qof vdem_mecorrpt",2.0891509,"Base Qof wvs_conftv",0,"Base Qof nelda_mbbe",NA,NA,82.08,"Base Qof ideavt_presvt"
"4","Argentina",1999,1,0,"Argentina",10880.2062074837,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",7630.02001953125,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",88.952,"Base Qof wdi_popurb",0.773,"Base Qof undp_hdi",1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv",2.96499991416931,"Mainwaring & Su (2021) - runoff",16,"Base Qof p_durable",17,"Base Qof bmr_demdur",16,"Mainwaring & Su (2021) - age_demo",17,"17",8,"Base Qof p_polity2",0.87,"Base Qof vdem_edcomp_thick",0.832,"Base Qof vdem_polyarchy",2.008,"Base Qof vdem_mecorrpt",2.1987233,"Base Qof wvs_conftv",0,"Base Qof nelda_mbbe",NA,NA,82.32,"Base Qof ideavt_presvt"
"5","Argentina",2003,1,0,"Argentina",9581.96979219468,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",8339.8896484375,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",89.686,"Base Qof wdi_popurb",0.79299998,"Base Qof undp_hdi",1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv",4.74900007247925,"Mainwaring & Su (2021) - runoff",20,"Base Qof p_durable",21,"Base Qof bmr_demdur",20,"Mainwaring & Su (2021) - age_demo",21,"21",8,"Base Qof p_polity2",0.869,"Base Qof vdem_edcomp_thick",0.813,"Base Qof vdem_polyarchy",2.875,"Base Qof vdem_mecorrpt",2.1987233,"Proyectado. Último valor disponible base Qof wvs_conftv",0,"Base Qof nelda_mbbe",NA,NA,78.22,"Base Qof ideavt_presvt"
"6","Argentina",2007,1,0,"Argentina",12857.0925770961,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",7337.7900390625,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",90.366,"Base Qof wdi_popurb",0.81699997,"Base Qof undp_hdi",1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv",2.97900009155273,"Mainwaring & Su (2021) - runoff",24,"Base Qof p_durable",25,"Base Qof bmr_demdur",24,"Mainwaring & Su (2021) - age_demo",25,"25",8,"Base Qof p_polity2",0.846,"Base Qof vdem_edcomp_thick",0.795,"Base Qof vdem_polyarchy",2.875,"Base Qof vdem_mecorrpt",2.1611953,"Proyectado. Último valor disponible base Qof wvs_conftv",0,"Base Qof nelda_mbbe",8,"Base Qof bti_foe",76.2,"Base Qof ideavt_presvt"
"7","Argentina",2011,1,0,"Argentina",14200.2698890608,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",9830.6796875,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",90.99,"Base Qof wdi_popurb",0.84100002,"Base Qof undp_hdi",1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv",2.71006512641907,"Mainwaring & Su (2021) - runoff",28,"Base Qof p_durable",29,"Base Qof bmr_demdur",28,"Mainwaring & Su (2021) - age_demo",29,"29",8,"Base Qof p_polity2",0.828,"Base Qof vdem_edcomp_thick",0.778,"Base Qof vdem_polyarchy",2.875,"Base Qof vdem_mecorrpt",2.1611953,"Proyectado. Último valor disponible base Qof wvs_conftv",0,"Base Qof nelda_mbbe",8,"Base Qof bti_foe",79.39,"Base Qof ideavt_presvt"
"8","Argentina",2015,1,1,"Argentina",13789.060424772,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",10780.01953125,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",91.503,"Base Qof wdi_popurb",0.84799999,"Base Qof undp_hdi",1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv",3.5699999332428,"Mainwaring & Su (2021) - runoff",32,"Base Qof p_durable",33,"Base Qof bmr_demdur",32,"Mainwaring & Su (2021) - age_demo",33,"33",9,"Base Qof p_polity2",0.84,"Base Qof vdem_edcomp_thick",0.777,"Base Qof vdem_polyarchy",2.837,"Base Qof vdem_mecorrpt",2.2132895,"Proyectado. Último valor disponible base Qof wvs_conftv",0,"Base Qof nelda_mbbe",8,"Base Qof bti_foe",81.07,"Base Qof ideavt_presvt"
"9","Argentina",2015,2,1,"Argentina",13789.060424772,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",10780.01953125,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",91.503,"Base Qof wdi_popurb",0.84799999,"Base Qof undp_hdi",1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv",3.5699999332428,"Mainwaring & Su (2021) - runoff",32,"Base Qof p_durable",33,"Base Qof bmr_demdur",32,"Mainwaring & Su (2021) - age_demo",33,"33",9,"Base Qof p_polity2",0.84,"Base Qof vdem_edcomp_thick",0.777,"Base Qof vdem_polyarchy",2.837,"Base Qof vdem_mecorrpt",2.2132895,"Proyectado. Último valor disponible base Qof wvs_conftv",0,"Base Qof nelda_mbbe",8,"Base Qof bti_foe",81.07,"Base Qof ideavt_presvt"
"10","Argentina",2019,1,1,"Argentina",12716.2242038544,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",NA,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",91.991,"Base Qof wdi_popurb",0.852,"Base Qof undp_hdi",NA,NA,NA,NA,1,"Base Qof ideavt_prescv",NA,NA,NA,NA,37,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",37,"37",9,"Proyectado. Último valor disponible base Qof p_polity2",0.857,"Base Qof vdem_edcomp_thick",0.771,"Base Qof vdem_polyarchy",3.059,"Base Qof vdem_mecorrpt",2.1381154,"Proyectado. Último valor disponible base Qof wvs_conftv",0,"Base Qof nelda_mbbe",9,"Base Qof bti_foe",80.42,"Base Qof ideavt_presvt"
