"","cname","cname_year","version","year","egov_hci","wdi_litrad","undp_hdi","wdi_popurb","wvs_pmi4","wvs_pmi12","ihme_hle_0104t","who_let","wdi_gdpcappppcon2017","wdi_internet","egov_tii","rsf_pfi","wvs_confpr","wvs_conftv","bti_foe","ideavt_presvt","diat_ti","nelda_mbbe","atop_transyr","nelda_fme","p_durable","bmr_demdur","bmr_dem","bmr_dembr","bmr_demtran","gol_pest","p_polity2","ideavt_prescv","chga_demo","vdem_edcomp_thick","vdem_mecorrpt","vdem_partip","vdem_polyarchy","vdem_liberal","vdem_egal","vdem_dl_delib","cses_pc","gol_enep","gol_enep1","gol_enpres","wvs_confpp","nelda_vcdbe","bti_ci","jw_persr","cat_pais"
"1","Argentina","Argentina 1946","QoGStdTSjan24",1946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.39,NA,0,0,1,0,16,0,1,0,4,-8,1,1,0.356,0.984,0.542,0.287,0.586,0.726,0.443,NA,5.19,5.75,2.09,NA,1,NA,NA,"Argentina"
"2","Argentina","Argentina 1947","QoGStdTSjan24",1947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,17,0,1,0,4,-9,NA,1,0.474,0.984,0.542,0.352,0.489,0.773,0.443,NA,5.19,5.75,2.09,NA,NA,NA,NA,"Argentina"
"3","Argentina","Argentina 1948","QoGStdTSjan24",1948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,18,0,1,0,4,-9,NA,1,0.645,0.984,0.54,0.404,0.478,0.773,0.443,NA,NA,NA,2.09,NA,0,NA,NA,"Argentina"
"4","Argentina","Argentina 1949","QoGStdTSjan24",1949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,19,0,1,0,4,-9,NA,1,0.639,0.239,0.54,0.398,0.48,0.773,0.437,NA,NA,NA,2.09,NA,NA,NA,NA,"Argentina"
"5","Argentina","Argentina 1950","QoGStdTSjan24",1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,20,0,1,0,4,-9,NA,1,0.625,0.239,0.54,0.38,0.469,0.773,0.437,NA,NA,NA,2.09,NA,NA,NA,NA,"Argentina"
"6","Argentina","Argentina 1951","QoGStdTSjan24",1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.95,NA,1,0,0,3,21,0,1,0,1,-9,1,1,0.623,0.239,0.54,0.365,0.469,0.773,0.437,NA,1.97,1.97,1.96,NA,1,NA,NA,"Argentina"
"7","Argentina","Argentina 1952","QoGStdTSjan24",1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,4,22,0,1,0,1,-9,NA,1,0.609,0.239,0.54,0.36,0.465,0.773,0.437,NA,1.97,1.97,1.96,NA,NA,NA,NA,"Argentina"
"8","Argentina","Argentina 1953","QoGStdTSjan24",1953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5,23,0,1,0,1,-9,NA,1,0.602,0.239,0.54,0.358,0.463,0.773,0.437,NA,1.97,1.97,1.96,NA,NA,NA,NA,"Argentina"
"9","Argentina","Argentina 1954","QoGStdTSjan24",1954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,6,24,0,1,0,1,-9,NA,1,0.597,0.239,0.54,0.355,0.463,0.672,0.437,NA,1.93,1.93,1.96,NA,1,NA,NA,"Argentina"
"10","Argentina","Argentina 1955","QoGStdTSjan24",1955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,25,0,1,0,1,-6,NA,0,0.465,0.875,0.586,0.31,0.402,0.633,0.426,NA,1.93,1.93,1.96,NA,NA,NA,NA,"Argentina"
"11","Argentina","Argentina 1956","QoGStdTSjan24",1956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,26,0,1,0,1,-2,NA,0,0.164,1.657,0.484,0.142,0.304,0.518,0.322,NA,1.93,1.93,1.96,NA,NA,NA,NA,"Argentina"
"12","Argentina","Argentina 1957","QoGStdTSjan24",1957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,27,0,1,0,1,2,NA,0,0.199,1.657,0.484,0.179,0.311,0.518,0.322,NA,1.93,1.93,1.96,NA,1,NA,NA,"Argentina"
"13","Argentina","Argentina 1958","QoGStdTSjan24",1958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.86,NA,0,0,0,0,1,1,1,1,4,5,1,1,0.459,2.297,0.565,0.373,0.473,0.632,0.727,NA,2.83,2.885,2.65,NA,0,NA,NA,"Argentina"
"14","Argentina","Argentina 1959","QoGStdTSjan24",1959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,2,1,1,0,4,5,NA,1,0.564,2.297,0.565,0.473,0.645,0.72,0.86,NA,2.83,2.885,2.65,NA,NA,NA,NA,"Argentina"
"15","Argentina","Argentina 1960","QoGStdTSjan24",1960,NA,NA,NA,73.611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,3,1,1,0,4,5,NA,1,0.58,2.297,0.565,0.485,0.645,0.72,0.86,NA,4.93,5.485,2.65,NA,0,NA,NA,"Argentina"
"16","Argentina","Argentina 1961","QoGStdTSjan24",1961,NA,NA,NA,74.217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,3,4,1,1,0,4,5,NA,1,0.582,2.297,0.565,0.486,0.662,0.72,0.86,NA,4.93,5.485,2.65,NA,NA,NA,NA,"Argentina"
"17","Argentina","Argentina 1962","QoGStdTSjan24",1962,NA,NA,NA,74.767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,4,1,0,2,-1,4,5,NA,0,0.282,2.297,0.555,0.271,0.51,0.699,0.762,NA,5.49,7.05,2.65,NA,0,NA,NA,"Argentina"
"18","Argentina","Argentina 1963","QoGStdTSjan24",1963,NA,NA,NA,75.309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.59,NA,3,0,0,5,1,1,2,1,4,6,1,1,0.302,2.297,0.555,0.303,0.5,0.7,0.875,NA,5.57,5.98,3.9,NA,0,NA,NA,"Argentina"
"19","Argentina","Argentina 1964","QoGStdTSjan24",1964,NA,NA,NA,75.844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,6,2,1,2,0,4,6,NA,1,0.602,2.297,0.564,0.512,0.734,0.705,0.875,NA,5.57,5.98,3.9,NA,NA,NA,NA,"Argentina"
"20","Argentina","Argentina 1965","QoGStdTSjan24",1965,NA,NA,NA,76.369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,7,3,1,2,0,4,6,NA,1,0.609,2.297,0.564,0.517,0.745,0.705,0.867,NA,4.87,5.155,3.9,NA,0,NA,NA,"Argentina"
"21","Argentina","Argentina 1966","QoGStdTSjan24",1966,NA,NA,NA,76.888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,0,3,-1,4,-9,NA,0,0.268,2.297,0.564,0.225,0.518,0.551,0.782,NA,4.87,5.155,3.9,NA,NA,NA,NA,"Argentina"
"22","Argentina","Argentina 1967","QoGStdTSjan24",1967,NA,NA,NA,77.398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,2,0,3,0,4,-9,NA,0,0.133,0.889,0.553,0.103,0.298,0.481,0.438,NA,4.87,5.155,3.9,NA,NA,NA,NA,"Argentina"
"23","Argentina","Argentina 1968","QoGStdTSjan24",1968,NA,NA,NA,77.901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,3,0,3,0,4,-9,NA,0,0.133,0.889,0.553,0.105,0.298,0.484,0.438,NA,4.87,5.155,3.9,NA,NA,NA,NA,"Argentina"
"24","Argentina","Argentina 1969","QoGStdTSjan24",1969,NA,NA,NA,78.394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,3,4,0,3,0,4,-9,NA,0,0.133,0.889,0.553,0.105,0.292,0.484,0.438,NA,4.87,5.155,3.9,NA,NA,NA,NA,"Argentina"
"25","Argentina","Argentina 1970","QoGStdTSjan24",1970,NA,NA,NA,78.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,4,5,0,3,0,NA,-9,NA,0,0.133,0.889,0.553,0.105,0.292,0.495,0.438,NA,NA,NA,NA,NA,NA,NA,NA,"Argentina"
"26","Argentina","Argentina 1971","QoGStdTSjan24",1971,NA,NA,NA,79.321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5,6,0,3,0,NA,-9,NA,0,0.133,0.889,0.553,0.113,0.292,0.491,0.438,NA,NA,NA,NA,NA,NA,NA,NA,"Argentina"
"27","Argentina","Argentina 1972","QoGStdTSjan24",1972,NA,NA,NA,79.743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,6,7,0,3,0,NA,-9,NA,0,0.133,1.622,0.553,0.124,0.292,0.491,0.438,NA,NA,NA,NA,NA,NA,NA,NA,"Argentina"
"28","Argentina","Argentina 1973","QoGStdTSjan24",1973,NA,NA,NA,80.158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.86,NA,1,0,0,0,1,1,3,1,2,6,1,1,0.368,1.622,0.584,0.336,0.508,0.566,0.675,NA,3.19,3.19,2.19,NA,1,NA,NA,"Argentina"
"29","Argentina","Argentina 1974","QoGStdTSjan24",1974,NA,NA,NA,80.567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,2,1,3,0,2,6,NA,1,0.707,2.274,0.584,0.571,0.526,0.665,0.675,NA,3.19,3.19,2.19,NA,NA,NA,NA,"Argentina"
"30","Argentina","Argentina 1975","QoGStdTSjan24",1975,NA,NA,NA,80.969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,3,1,3,0,2,6,NA,1,0.678,2.274,0.59,0.537,0.514,0.654,0.643,NA,3.19,3.19,2.19,NA,NA,NA,NA,"Argentina"
