cat_pais,ncat_eleccion,ncat_ronda,nombres_candidatos,ninvitaciones,source_invitaciones
Argentina,2015,1,Adolfo Rodriguez Saa,1,Elaboracion propia con base en Franco Hantzsch (2022)
Argentina,2015,1,Daniel Scioli,1,Elaboracion propia con base en Franco Hantzsch (2022)
Argentina,2015,1,Margarita Stolbizer,1,Elaboracion propia con base en Franco Hantzsch (2022)
Argentina,2015,1,Mauricio Macri,1,Elaboracion propia con base en Franco Hantzsch (2022)
Argentina,2015,1,Nicolas del Cano,1,Elaboracion propia con base en Franco Hantzsch (2022)
Argentina,2015,1,Sergio Massa,1,Elaboracion propia con base en Franco Hantzsch (2022)
Argentina,2015,2,Daniel Scioli,1,Elaboracion propia con base en Franco Hantzsch (2022)
Argentina,2015,2,Mauricio Macri,1,Elaboracion propia con base en Franco Hantzsch (2022)
Argentina,2019,1,Alberto Fernandez,2,Elaboracion propia con base en Franco Hantzsch (2022)
Argentina,2019,1,Jose Luis Espert,2,Elaboracion propia con base en Franco Hantzsch (2022)
Argentina,2019,1,Juan Jose Gomez Centurion,2,Elaboracion propia con base en Franco Hantzsch (2022)
Argentina,2019,1,Mauricio Macri,2,Elaboracion propia con base en Franco Hantzsch (2022)
Argentina,2019,1,Nicolas del Cano,2,Elaboracion propia con base en Franco Hantzsch (2022)
Argentina,2019,1,Roberto Lavagna,2,Elaboracion propia con base en Franco Hantzsch (2022)
Argentina,2023,1,Javier Milei,2,Elaboracion propia con base en Franco Hantzsch (2022)
Argentina,2023,1,Juan Schiaretti,2,Elaboracion propia con base en Franco Hantzsch (2022)
Argentina,2023,1,Myriam Bregman,2,Elaboracion propia con base en Franco Hantzsch (2022)
Argentina,2023,1,Patricia Bullrich,2,Elaboracion propia con base en Franco Hantzsch (2022)
Argentina,2023,1,Sergio Massa,2,Elaboracion propia con base en Franco Hantzsch (2022)
Argentina,2023,2,Javier Milei,1,Elaboracion propia con base en Franco Hantzsch (2022)
Argentina,2023,2,Sergio Massa,1,Elaboracion propia con base en Franco Hantzsch (2022)
Bolivia,1989,1,Antonio Aranibar,1,Elaboracion propia con base en Franco Hantzsch (2022)
Bolivia,1989,1,Carlos Palenque,1,Elaboracion propia con base en Franco Hantzsch (2022)
Bolivia,1989,1,Genaro Flores,1,Elaboracion propia con base en Franco Hantzsch (2022)
Bolivia,1989,1,Gonzalo Sanchez de Lozada,1,Elaboracion propia con base en Franco Hantzsch (2022)
Bolivia,1989,1,Hugo Banzer,1,Elaboracion propia con base en Franco Hantzsch (2022)
Bolivia,1989,1,Jaime Paz Zamora,1,Elaboracion propia con base en Franco Hantzsch (2022)
Bolivia,1989,1,Luis Sandoval Moron,1,Elaboracion propia con base en Franco Hantzsch (2022)
Bolivia,1989,1,Roger Cortez,1,Elaboracion propia con base en Franco Hantzsch (2022)
Bolivia,1989,1,Victor Hugo Cardena,1,Elaboracion propia con base en Franco Hantzsch (2022)
Bolivia,1993,1,Antonio Aranibar,1,Elaboracion propia con base en Franco Hantzsch (2022)
Bolivia,1993,1,Carlos Palenque,1,Elaboracion propia con base en Franco Hantzsch (2022)
Bolivia,1993,1,Felix Cardenas,1,Elaboracion propia con base en Franco Hantzsch (2022)
Bolivia,1993,1,Fernando Untoja,1,Elaboracion propia con base en Franco Hantzsch (2022)
Bolivia,1993,1,Gonzalo Sanchez de Lozada,1,Elaboracion propia con base en Franco Hantzsch (2022)
Bolivia,1993,1,Hugo Banzer,1,Elaboracion propia con base en Franco Hantzsch (2022)
