"","cat_pais","ncat_eleccion","nombres_candidatos","npresenciaspasadas","nausenciaspasadas","dicopresenciaspasadas","dicoausenciaspasadas","source_participaciones"
"1","Venezuela",1963,"Arturo Uslar Pietri",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"2","Venezuela",1963,"Rafael Caldera",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"3","Venezuela",1963,"Raul Leoni",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"4","Venezuela",1968,"Alejandro Hernandez",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"5","Venezuela",1968,"German Borregales",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"6","Venezuela",1968,"Gonzalo Barrios",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"7","Venezuela",1968,"Luis Beltran Prieto",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"8","Venezuela",1968,"Rafael Caldera",1,0,1,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"9","Ecuador",1979,"Abdon Calderon",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"10","Ecuador",1979,"Jaime Roldos",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"11","Ecuador",1979,"Raul Clemente Huerta",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"12","Ecuador",1979,"Rene Mauge",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"13","Ecuador",1979,"Rodrigo Borja",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"14","Ecuador",1979,"Sixto Duran Ballen",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"15","Venezuela",1983,"Jaime Lusinchi",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"16","Venezuela",1983,"Rafael Caldera",2,0,1,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"17","Ecuador",1984,"Leon Febres Cordero",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"18","Ecuador",1984,"Rodrigo Borja",1,0,1,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"19","Uruguay",1984,"Alberto Zumaran",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"20","Uruguay",1984,"Julio Maria Sanguinetti",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"21","Colombia",1986,"Alvaro Gomez Hurtado",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"22","Colombia",1986,"Luis Carlos Galan",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"23","Colombia",1986,"Virgilio Barco",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"24","Costa Rica",1986,"Oscar Arias Sanchez",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"25","Costa Rica",1986,"Rafael Calderon Fournier",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"26","Bolivia",1989,"Antonio Aranibar",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"27","Bolivia",1989,"Carlos Palenque",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"28","Bolivia",1989,"Genaro Flores",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"29","Bolivia",1989,"Gonzalo Sanchez de Lozada",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"30","Bolivia",1989,"Hugo Banzer",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"31","Bolivia",1989,"Jaime Paz Zamora",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"32","Bolivia",1989,"Luis Sandoval Moron",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"33","Bolivia",1989,"Roger Cortez",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"34","Bolivia",1989,"Victor Hugo Cardena",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"35","Brasil",1989,"Affonso Camargo",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"36","Brasil",1989,"Aureliano Chaves",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"37","Brasil",1989,"Fernando Collor de Mello",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"38","Brasil",1989,"Guilherme Afif Domingos",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"39","Brasil",1989,"Leonel Brizola",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"40","Brasil",1989,"Luiz Inacio Lula da Silva",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"41","Brasil",1989,"Mario Covas",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"42","Brasil",1989,"Paulo Maluf",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"43","Brasil",1989,"Roberto Freire",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
