"","cat_pais","ncat_eleccion","ncat_ronda","alineamiento","source_alineamiento"
"1","Argentina",1983,1,NA,NA
"2","Argentina",1989,1,NA,NA
"3","Argentina",1995,1,37.5999984741211,"Mainwaring & Su (2021)"
"4","Argentina",1999,1,33.0999984741211,"Mainwaring & Su (2021)"
"5","Argentina",2003,1,23.2999992370605,"Mainwaring & Su (2021)"
"6","Argentina",2007,1,24.8,"LAPOP"
"7","Argentina",2011,1,19.5,"LAPOP"
"8","Argentina",2015,1,25.7,"LAPOP"
"9","Argentina",2015,2,25.7,"LAPOP"
"10","Argentina",2019,1,23,"LAPOP"
"11","Argentina",2023,1,25.3,"LAPOP"
"12","Argentina",2023,2,25.3,"LAPOP"
"13","Bolivia",1978,1,NA,NA
"14","Bolivia",1979,1,NA,NA
"15","Bolivia",1980,1,NA,NA
"16","Bolivia",1985,1,NA,NA
"17","Bolivia",1989,1,NA,NA
"18","Bolivia",1993,1,NA,NA
"19","Bolivia",1997,1,46.0999984741211,"Mainwaring & Su (2021)"
"20","Bolivia",2002,1,46.0999984741211,"Mainwaring & Su (2021)"
"21","Bolivia",2005,1,44.5,"Mainwaring & Su (2021)"
"22","Bolivia",2009,1,29,"LAPOP"
"23","Bolivia",2014,1,25.8,"LAPOP"
"24","Bolivia",2019,1,18.7,"LAPOP"
"25","Bolivia",2020,1,18.7,"LAPOP"
"26","Brasil",1989,1,NA,NA
"27","Brasil",1989,2,NA,NA
"28","Brasil",1994,1,NA,NA
"29","Brasil",1998,1,27.6000003814697,"Mainwaring & Su (2021)"
"30","Brasil",2002,1,NA,NA
"31","Brasil",2002,2,NA,NA
"32","Brasil",2006,1,34.1,"LAPOP"
"33","Brasil",2006,2,34.1,"LAPOP"
"34","Brasil",2010,1,30.2,"LAPOP"
"35","Brasil",2010,2,30.2,"LAPOP"
"36","Brasil",2014,1,22.2,"LAPOP"
"37","Brasil",2014,2,22.2,"LAPOP"
"38","Brasil",2018,1,23.4,"LAPOP"
"39","Brasil",2018,2,23.4,"LAPOP"
"40","Brasil",2022,1,23.4,"LAPOP"
"41","Brasil",2022,2,23.4,"LAPOP"
"42","Chile",1989,1,NA,NA
"43","Chile",1993,1,NA,NA
"44","Chile",2000,1,43.9000015258789,"Mainwaring & Su (2021)"
"45","Chile",2000,2,43.9000015258789,"Mainwaring & Su (2021)"
"46","Chile",2006,1,25.6,"LAPOP"
"47","Chile",2006,2,25.6,"LAPOP"
"48","Chile",2010,1,21.4,"LAPOP"
"49","Chile",2010,2,11.6,"LAPOP"
"50","Chile",2013,1,14.1,"LAPOP"
"51","Chile",2013,2,14.1,"LAPOP"
"52","Chile",2017,1,12.3,"LAPOP"
"53","Chile",2017,2,12.3,"LAPOP"
"54","Chile",2021,1,10.7,"LAPOP"
"55","Chile",2021,2,10.7,"LAPOP"
"56","Colombia",1974,1,NA,NA
"57","Colombia",1978,1,NA,NA
"58","Colombia",1982,1,NA,NA
"59","Colombia",1986,1,NA,NA
"60","Colombia",1990,1,NA,NA
"61","Colombia",1994,1,NA,NA
"62","Colombia",1994,2,NA,NA
"63","Colombia",1998,1,37.5,"Mainwaring & Su (2021)"
"64","Colombia",1998,2,37.5,"Mainwaring & Su (2021)"
"65","Colombia",2002,1,NA,NA
"66","Colombia",2006,1,28.6,"LAPOP"
"67","Colombia",2010,1,37.2,"LAPOP"
"68","Colombia",2010,2,37.2,"LAPOP"
"69","Colombia",2014,1,28.2,"LAPOP"
"70","Colombia",2014,2,28.2,"LAPOP"
"71","Colombia",2018,1,26.1,"LAPOP"
"72","Colombia",2018,2,26.1,"LAPOP"
"73","Colombia",2022,1,26.1,"LAPOP"
"74","Colombia",2022,2,26.1,"LAPOP"
"75","Costa Rica",1962,1,NA,NA
"76","Costa Rica",1966,1,NA,NA
"77","Costa Rica",1970,1,NA,NA
"78","Costa Rica",1974,1,NA,NA
"79","Costa Rica",1978,1,NA,NA
"80","Costa Rica",1982,1,NA,NA
"81","Costa Rica",1986,1,NA,NA
"82","Costa Rica",1990,1,NA,NA
"83","Costa Rica",1994,1,NA,NA
"84","Costa Rica",1998,1,50.7000007629395,"Mainwaring & Su (2021)"
"85","Costa Rica",2002,1,NA,NA
"86","Costa Rica",2002,2,NA,NA
"87","Costa Rica",2006,1,36.1,"LAPOP"
"88","Costa Rica",2010,1,52.3,"LAPOP"
"89","Costa Rica",2014,1,67.4,"LAPOP"
"90","Costa Rica",2014,2,67.4,"LAPOP"
"91","Costa Rica",2018,1,19.9,"LAPOP"
"92","Costa Rica",2018,2,19.9,"LAPOP"
"93","Costa Rica",2022,1,19.9,"LAPOP"
"94","Costa Rica",2022,2,19.9,"LAPOP"
"95","Ecuador",1960,1,NA,NA
"96","Ecuador",1968,1,NA,NA
"97","Ecuador",1979,1,NA,NA
"98","Ecuador",1979,2,NA,NA
"99","Ecuador",1984,1,NA,NA
"100","Ecuador",1984,2,NA,NA
"101","Ecuador",1988,1,NA,NA
"102","Ecuador",1988,2,NA,NA
"103","Ecuador",1992,1,NA,NA
"104","Ecuador",1992,2,NA,NA
"105","Ecuador",1996,1,58.4000015258789,"Mainwaring & Su (2021)"
"106","Ecuador",1996,2,58.4000015258789,"Mainwaring & Su (2021)"
"107","Ecuador",1998,1,42.4000015258789,"Mainwaring & Su (2021)"
"108","Ecuador",1998,2,42.4000015258789,"Mainwaring & Su (2021)"
"109","Ecuador",2002,1,42.4000015258789,"Mainwaring & Su (2021)"
"110","Ecuador",2002,2,42.4000015258789,"Mainwaring & Su (2021)"
"111","Ecuador",2006,1,39.9000015258789,"Mainwaring & Su (2021)"
"112","Ecuador",2006,2,39.9000015258789,"Mainwaring & Su (2021)"
"113","Ecuador",2009,1,18.9,"LAPOP"
"114","Ecuador",2013,1,22.5,"LAPOP"
"115","Ecuador",2017,1,23.8,"LAPOP"
"116","Ecuador",2017,2,23.8,"LAPOP"
"117","Ecuador",2021,1,22.9,"LAPOP"
"118","Ecuador",2021,2,22.9,"LAPOP"
"119","Ecuador",2023,1,13.9,"LAPOP"
"120","Ecuador",2023,2,13.9,"LAPOP"
"121","El Salvador",1984,1,NA,NA
"122","El Salvador",1984,2,NA,NA
"123","El Salvador",1989,1,NA,NA
"124","El Salvador",1994,1,NA,NA
"125","El Salvador",1994,2,NA,NA
"126","El Salvador",1999,1,58.7999992370605,"Mainwaring & Su (2021)"
"127","El Salvador",2004,1,42.2999992370605,"Mainwaring & Su (2021)"
"128","El Salvador",2009,1,40.9,"LAPOP"
"129","El Salvador",2014,1,44.7,"LAPOP"
"130","El Salvador",2014,2,44.7,"LAPOP"
"131","El Salvador",2019,1,36.1,"LAPOP"
"132","El Salvador",2024,1,24.7,"LAPOP"
"133","Guatemala",1966,1,NA,NA
"134","Guatemala",1970,1,NA,NA
"135","Guatemala",1974,1,NA,NA
"136","Guatemala",1978,1,NA,NA
"137","Guatemala",1982,1,NA,NA
"138","Guatemala",1985,1,NA,NA
"139","Guatemala",1985,2,NA,NA
"140","Guatemala",1991,1,NA,NA
"141","Guatemala",1991,2,NA,NA
"142","Guatemala",1995,1,NA,NA
"143","Guatemala",1995,2,NA,NA
"144","Guatemala",1999,1,37.2999992370605,"Mainwaring & Su (2021)"
"145","Guatemala",1999,2,37.2999992370605,"Mainwaring & Su (2021)"
"146","Guatemala",2003,1,28.2000007629395,"Mainwaring & Su (2021)"
"147","Guatemala",2003,2,28.2000007629395,"Mainwaring & Su (2021)"
"148","Guatemala",2007,1,14.7,"LAPOP"
"149","Guatemala",2007,2,14.7,"LAPOP"
"150","Guatemala",2011,1,18.4,"LAPOP"
"151","Guatemala",2011,2,18.4,"LAPOP"
"152","Guatemala",2015,1,11.4,"LAPOP"
"153","Guatemala",2015,2,11.4,"LAPOP"
"154","Guatemala",2019,1,10.3,"LAPOP"
"155","Guatemala",2019,2,10.3,"LAPOP"
"156","Guatemala",2023,1,17.2,"LAPOP"
"157","Guatemala",2023,2,17.2,"LAPOP"
"158","Honduras",1981,1,NA,NA
"159","Honduras",1985,1,NA,NA
"160","Honduras",1989,1,NA,NA
"161","Honduras",1993,1,NA,NA
"162","Honduras",1997,1,77.8000030517578,"Mainwaring & Su (2021)"
"163","Honduras",2001,1,77.8000030517578,"Mainwaring & Su (2021)"
"164","Honduras",2005,1,44.2,"LAPOP"
"165","Honduras",2009,1,48.7,"LAPOP"
"166","Honduras",2013,1,39.2,"LAPOP"
