"","cat_pais","ncat_eleccion","ncat_ronda","ntc","source_ntc","all_ntc_caro"
"1","Argentina",1983,1,12,"Lujan (2020)",NA
"2","Argentina",1989,1,10,"Lujan (2020)",NA
"3","Argentina",1995,1,14,"Lujan (2020)",NA
"4","Argentina",1999,1,10,"Lujan (2020)",NA
"5","Argentina",2003,1,18,"Lujan (2020)",NA
"6","Argentina",2007,1,14,"Lujan (2020)",NA
"7","Argentina",2011,1,7,"Lujan (2020)",NA
"8","Argentina",2015,1,6,"Calculo propio con base en datos de candidatos",6
"9","Argentina",2015,2,2,"Calculo propio con base en datos de candidatos",2
"10","Argentina",2019,1,6,"Calculo propio con base en datos de candidatos",6
"11","Argentina",2023,1,5,"Calculo propio con base en datos de candidatos",5
"12","Argentina",2023,2,2,"Calculo propio con base en datos de candidatos",2
"13","Bolivia",1978,1,9,"Calculo propio con base en datos de candidatos",9
"14","Bolivia",1979,1,8,"Calculo propio con base en datos de candidatos",8
"15","Bolivia",1980,1,13,"Calculo propio con base en datos de candidatos",13
"16","Bolivia",1985,1,18,"Lujan (2020)",NA
"17","Bolivia",1989,1,10,"Calculo propio con base en datos de candidatos",10
"18","Bolivia",1993,1,14,"Calculo propio con base en datos de candidatos",14
"19","Bolivia",1997,1,10,"Calculo propio con base en datos de candidatos",10
"20","Bolivia",2002,1,11,"Calculo propio con base en datos de candidatos",11
"21","Bolivia",2005,1,8,"Calculo propio con base en datos de candidatos",8
"22","Bolivia",2009,1,8,"Lujan (2020)",NA
"23","Bolivia",2014,1,5,"Calculo propio con base en datos de candidatos",5
"24","Bolivia",2019,1,9,"Calculo propio con base en datos de candidatos",9
"25","Bolivia",2020,1,5,"Calculo propio con base en datos de candidatos",5
"26","Brasil",1989,1,22,"Calculo propio con base en datos de candidatos",22
"27","Brasil",1989,2,2,"Calculo propio con base en datos de candidatos",2
"28","Brasil",1994,1,8,"Calculo propio con base en datos de candidatos",8
"29","Brasil",1998,1,12,"Lujan (2020)",NA
"30","Brasil",2002,1,6,"Calculo propio con base en datos de candidatos",6
"31","Brasil",2002,2,2,"Calculo propio con base en datos de candidatos",2
"32","Brasil",2006,1,8,"Calculo propio con base en datos de candidatos",8
