"","cat_pais","ncat_eleccion","ncat_ronda","propindivinternet2","propindivinternet","source_propindivinternet2","source_propindivinternet"
"1","Brasil",1989,2,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"2","Brasil",1994,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"3","Brasil",1998,1,0,1.722414,"Proyectado. Ultimo valor disponible UIT","Interpolación temporal con base en valores UIT usando función imputeTS::na_interpolation("
"4","Brasil",2002,2,9.14943,9.14943,"UIT, con base en: ","UIT, con base en: "
"5","Brasil",2006,2,28.1784,28.1784,"UIT, con base en: ITU estimate based on Brazilian Internet Steering Committee.","UIT, con base en: ITU estimate based on Brazilian Internet Steering Committee."
"6","Brasil",2010,2,40.65,40.65,"UIT, con base en: Brazilian Internet Steering Committee.","UIT, con base en: Brazilian Internet Steering Committee."
"7","Brasil",2014,2,54.551,54.551,"UIT, con base en: Brazilian Internet Steering Committee","UIT, con base en: Brazilian Internet Steering Committee"
"8","Brasil",2018,2,70.4343,70.4343,"UIT, con base en: Brazilian Institute of Geography and Statistics","UIT, con base en: Brazilian Institute of Geography and Statistics"
"9","Brasil",2022,2,80.5278,80.5278,"UIT, con base en: ","UIT, con base en: "
"10","Argentina",1983,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"11","Argentina",1989,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"12","Argentina",1995,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"13","Argentina",1999,1,0,5.630944,"Proyectado. Ultimo valor disponible UIT","Interpolación temporal con base en valores UIT usando función imputeTS::na_interpolation("
"14","Argentina",2003,1,11.9137,11.9137,"UIT, con base en: SECOM.","UIT, con base en: SECOM."
"15","Argentina",2007,1,25.9466,25.9466,"UIT, con base en: SECOM.","UIT, con base en: SECOM."
"16","Argentina",2011,1,51,51,"UIT, con base en: ITU estimate based on INDEC's survey.","UIT, con base en: ITU estimate based on INDEC's survey."
"17","Argentina",2015,2,68.0431,68.0431,"UIT, con base en: Instituto Nacional de Estadistica y Censos","UIT, con base en: Instituto Nacional de Estadistica y Censos"
"18","Argentina",2019,1,79.947,79.947,"UIT, con base en: Instituto Nacional de Estadistica y Censos","UIT, con base en: Instituto Nacional de Estadistica y Censos"
"19","Argentina",2023,2,89.229,89.229,"UIT, con base en: Instituto Nacional de Estadistica y Censos","UIT, con base en: Instituto Nacional de Estadistica y Censos"
"20","Chile",1989,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"21","Chile",1993,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"22","Chile",2000,2,16.6,16.6,"UIT, con base en: OSILAC, ECLAC.","UIT, con base en: OSILAC, ECLAC."
"23","Chile",2006,2,34.4978,34.4978,"UIT, con base en: Ministerio de Planificación.","UIT, con base en: Ministerio de Planificación."
"24","Chile",2010,2,45,45,"UIT, con base en: ITU estimate.","UIT, con base en: ITU estimate."
"25","Chile",2013,2,58,58,"UIT, con base en: Ministerio Desarrollo Social","UIT, con base en: Ministerio Desarrollo Social"
"26","Chile",2017,2,82.3275,82.3275,"UIT, con base en: Subsecretaría de Telecomunicaciones","UIT, con base en: Subsecretaría de Telecomunicaciones"
"27","Chile",2021,2,88.8045,88.8045,"UIT, con base en: ITU estimate.","UIT, con base en: ITU estimate."
"28","Peru",1980,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"29","Peru",1985,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"30","Peru",1990,2,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"31","Peru",1995,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"32","Peru",2000,2,3.07643,3.07643,"UIT, con base en: ITU estimate.","UIT, con base en: ITU estimate."
"33","Peru",2001,2,7.57876,7.57876,"UIT, con base en: Maximixe estimate.","UIT, con base en: Maximixe estimate."
"34","Peru",2006,2,20.7,20.7,"UIT, con base en: ITU estimate based on INEI.","UIT, con base en: ITU estimate based on INEI."
"35","Peru",2011,2,36.01,36.01,"UIT, con base en: INSTITUTO NACIONAL DE ESTADÍSTICA E INFORMÁTICA (INEI)","UIT, con base en: INSTITUTO NACIONAL DE ESTADÍSTICA E INFORMÁTICA (INEI)"
"36","Peru",2016,2,45.4617,45.4617,"UIT, con base en: Instituto Nacional de Estadistica e Informatica","UIT, con base en: Instituto Nacional de Estadistica e Informatica"
"37","Peru",2021,2,71.1078,71.1078,"UIT, con base en: Instituto Nacional de Estadistica e Informatica","UIT, con base en: Instituto Nacional de Estadistica e Informatica"
"38","Paraguay",1989,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"39","Paraguay",1993,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
