"","cat_pais","ncat_eleccion","ncat_ronda","avgpropdebatesregionxciclo","lagpropdebatesregion","lagndebatesregion","source_region"
"1","Brasil",1989,2,0,0,0,"Calculo con base en data recabada para Franco H. (2022)"
"2","Brasil",1994,1,0.456825396825397,0.8,4,"Calculo con base en data recabada para Franco H. (2022)"
"3","Brasil",1998,1,0.3375,0.5,1,"Calculo con base en data recabada para Franco H. (2022)"
"4","Brasil",2002,2,0.291666666666667,0.25,1,"Calculo con base en data recabada para Franco H. (2022)"
"5","Brasil",2006,2,0.604166666666667,0.666666666666667,2,"Calculo con base en data recabada para Franco H. (2022)"
"6","Brasil",2010,2,0.489583333333333,0.375,3,"Calculo con base en data recabada para Franco H. (2022)"
"7","Brasil",2014,2,0.708333333333333,0.833333333333333,5,"Calculo con base en data recabada para Franco H. (2022)"
"8","Brasil",2018,2,0.825,0.8,4,"Calculo con base en data recabada para Franco H. (2022)"
"9","Brasil",2022,2,0.693452380952381,0.857142857142857,6,"Calculo con base en data recabada para Franco H. (2022)"
"10","Argentina",1983,1,0.1,0.2,1,"Calculo con base en data recabada para Franco H. (2022)"
"11","Argentina",1989,1,0.3,0,0,"Calculo con base en data recabada para Franco H. (2022)"
"12","Argentina",1995,1,0.480687830687831,0.6,6,"Calculo con base en data recabada para Franco H. (2022)"
"13","Argentina",1999,1,0.3125,0.5,4,"Calculo con base en data recabada para Franco H. (2022)"
"14","Argentina",2003,1,0.354166666666667,0.75,6,"Calculo con base en data recabada para Franco H. (2022)"
"15","Argentina",2007,1,0.604166666666667,0.75,9,"Calculo con base en data recabada para Franco H. (2022)"
"16","Argentina",2011,1,0.552083333333333,1,6,"Calculo con base en data recabada para Franco H. (2022)"
"17","Argentina",2015,2,0.645833333333333,0.75,9,"Calculo con base en data recabada para Franco H. (2022)"
"18","Argentina",2019,1,0.804166666666667,0.666666666666667,6,"Calculo con base en data recabada para Franco H. (2022)"
"19","Argentina",2023,2,0.735119047619048,0.833333333333333,5,"Calculo con base en data recabada para Franco H. (2022)"
"20","Chile",1989,1,0,0,0,"Calculo con base en data recabada para Franco H. (2022)"
"21","Chile",1993,1,0.371031746031746,0.5,1,"Calculo con base en data recabada para Franco H. (2022)"
"22","Chile",2000,2,0.25,0.25,2,"Calculo con base en data recabada para Franco H. (2022)"
"23","Chile",2006,2,0.666666666666667,0.666666666666667,2,"Calculo con base en data recabada para Franco H. (2022)"
"24","Chile",2010,2,0.375,0.375,3,"Calculo con base en data recabada para Franco H. (2022)"
"25","Chile",2013,2,0.666666666666667,0.333333333333333,1,"Calculo con base en data recabada para Franco H. (2022)"
"26","Chile",2017,2,0.833333333333333,0.75,3,"Calculo con base en data recabada para Franco H. (2022)"
"27","Chile",2021,2,0.679166666666667,0.5,1,"Calculo con base en data recabada para Franco H. (2022)"
"28","Peru",1980,1,0.416666666666667,0.666666666666667,2,"Calculo con base en data recabada para Franco H. (2022)"
"29","Peru",1985,1,0.206666666666667,0.333333333333333,2,"Calculo con base en data recabada para Franco H. (2022)"
"30","Peru",1990,2,0.305555555555556,0.555555555555556,5,"Calculo con base en data recabada para Franco H. (2022)"
"31","Peru",1995,1,0.465714285714286,0.6,6,"Calculo con base en data recabada para Franco H. (2022)"
"32","Peru",2000,2,0.3,0.25,2,"Calculo con base en data recabada para Franco H. (2022)"
"33","Peru",2001,2,0.166666666666667,0.166666666666667,1,"Calculo con base en data recabada para Franco H. (2022)"
"34","Peru",2006,2,0.533333333333333,0.666666666666667,2,"Calculo con base en data recabada para Franco H. (2022)"
"35","Peru",2011,2,0.591666666666667,1,6,"Calculo con base en data recabada para Franco H. (2022)"
"36","Peru",2016,2,0.716666666666667,1,4,"Calculo con base en data recabada para Franco H. (2022)"
"37","Peru",2021,2,0.693333333333333,0.5,1,"Calculo con base en data recabada para Franco H. (2022)"
"38","Paraguay",1989,1,0,0,0,"Calculo con base en data recabada para Franco H. (2022)"
"39","Paraguay",1993,1,0.371031746031746,0.5,1,"Calculo con base en data recabada para Franco H. (2022)"
"40","Paraguay",1998,1,0.43,0.5,1,"Calculo con base en data recabada para Franco H. (2022)"
"41","Paraguay",2003,1,0.383333333333333,0.75,6,"Calculo con base en data recabada para Franco H. (2022)"
"42","Paraguay",2008,1,0.55,0.333333333333333,1,"Calculo con base en data recabada para Franco H. (2022)"
"43","Paraguay",2013,1,0.575,0.333333333333333,1,"Calculo con base en data recabada para Franco H. (2022)"
"44","Paraguay",2018,1,0.826666666666667,0.8,4,"Calculo con base en data recabada para Franco H. (2022)"
"45","Paraguay",2023,1,0.721428571428571,0.833333333333333,5,"Calculo con base en data recabada para Franco H. (2022)"
"46","Ecuador",1960,1,0,0,0,"Calculo con base en data recabada para Franco H. (2022)"
"47","Ecuador",1968,1,0.25,0,0,"Calculo con base en data recabada para Franco H. (2022)"
"48","Ecuador",1979,2,0.133333333333333,0.166666666666667,1,"Calculo con base en data recabada para Franco H. (2022)"
"49","Ecuador",1984,2,0.273333333333333,0.5,1,"Calculo con base en data recabada para Franco H. (2022)"
"50","Ecuador",1988,2,0.333333333333333,0,0,"Calculo con base en data recabada para Franco H. (2022)"
"51","Ecuador",1992,2,0.246031746031746,0,0,"Calculo con base en data recabada para Franco H. (2022)"
"52","Ecuador",1996,2,0.5375,0.25,1,"Calculo con base en data recabada para Franco H. (2022)"
"53","Ecuador",1998,2,0.25,0.5,1,"Calculo con base en data recabada para Franco H. (2022)"
"54","Ecuador",2002,2,0.291666666666667,0.25,1,"Calculo con base en data recabada para Franco H. (2022)"
"55","Ecuador",2006,2,0.604166666666667,0.666666666666667,2,"Calculo con base en data recabada para Franco H. (2022)"
"56","Ecuador",2009,1,0.527777777777778,0.5,1,"Calculo con base en data recabada para Franco H. (2022)"
"57","Ecuador",2013,1,0.59375,0.333333333333333,1,"Calculo con base en data recabada para Franco H. (2022)"
"58","Ecuador",2017,2,0.833333333333333,0.75,3,"Calculo con base en data recabada para Franco H. (2022)"
"59","Ecuador",2021,2,0.679166666666667,0.5,1,"Calculo con base en data recabada para Franco H. (2022)"
"60","Ecuador",2023,2,0.845238095238095,0.833333333333333,5,"Calculo con base en data recabada para Franco H. (2022)"
"61","Uruguay",1984,1,0.35,0.5,1,"Calculo con base en data recabada para Franco H. (2022)"
