"","cat_pais","ncat_eleccion","ncat_ronda","regulacionordinal","regulaciondico","regulacionobligatoriodico","regulaciongarantiasdico","regulacionposibilidaddico","source_regulacion"
"1","Argentina",1983,1,0,0,0,0,0,"Franco H. (2022)"
"2","Argentina",1989,1,0,0,0,0,0,"Franco H. (2022)"
"3","Argentina",1995,1,0,0,0,0,0,"Franco H. (2022)"
"4","Argentina",1999,1,0,0,0,0,0,"Franco H. (2022)"
"5","Argentina",2003,1,0,0,0,0,0,"Franco H. (2022)"
"6","Argentina",2007,1,0,0,0,0,0,"Franco H. (2022)"
"7","Argentina",2011,1,0,0,0,0,0,"Franco H. (2022)"
"8","Argentina",2015,1,0,0,0,0,0,"Franco H. (2022)"
"9","Argentina",2015,2,0,0,0,0,0,"Franco H. (2022)"
"10","Argentina",2019,1,9,1,1,0,0,"Franco H. (2022)"
"11","Argentina",2023,1,9,1,1,0,0,"Franco H. (2022)"
"12","Argentina",2023,2,9,1,1,0,0,"Franco H. (2022)"
"13","Bolivia",1978,1,0,0,0,0,0,"Franco H. (2022)"
"14","Bolivia",1979,1,0,0,0,0,0,"Franco H. (2022)"
"15","Bolivia",1980,1,0,0,0,0,0,"Franco H. (2022)"
"16","Bolivia",1985,1,0,0,0,0,0,"Franco H. (2022)"
"17","Bolivia",1989,1,0,0,0,0,0,"Franco H. (2022)"
"18","Bolivia",1993,1,0,0,0,0,0,"Franco H. (2022)"
"19","Bolivia",1997,1,0,0,0,0,0,"Franco H. (2022)"
"20","Bolivia",2002,1,0,0,0,0,0,"Franco H. (2022)"
"21","Bolivia",2005,1,0,0,0,0,0,"Franco H. (2022)"
"22","Bolivia",2009,1,0,0,0,0,0,"Franco H. (2022)"
"23","Bolivia",2014,1,0,0,0,0,0,"Franco H. (2022)"
"24","Bolivia",2019,1,3,1,0,0,1,"Franco H. (2022)"
"25","Bolivia",2020,1,3,1,0,0,1,"Franco H. (2022)"
"26","Brasil",1989,1,3,1,0,0,1,"Franco H. (2022)"
"27","Brasil",1989,2,3,1,0,0,1,"Franco H. (2022)"
"28","Brasil",1994,1,7,1,0,1,0,"Franco H. (2022)"
"29","Brasil",1998,1,7,1,0,1,0,"Franco H. (2022)"
"30","Brasil",2002,1,7,1,0,1,0,"Franco H. (2022)"
"31","Brasil",2002,2,7,1,0,1,0,"Franco H. (2022)"
"32","Brasil",2006,1,7,1,0,1,0,"Franco H. (2022)"
"33","Brasil",2006,2,7,1,0,1,0,"Franco H. (2022)"
"34","Brasil",2010,1,7,1,0,1,0,"Franco H. (2022)"
"35","Brasil",2010,2,7,1,0,1,0,"Franco H. (2022)"
"36","Brasil",2014,1,7,1,0,1,0,"Franco H. (2022)"
"37","Brasil",2014,2,7,1,0,1,0,"Franco H. (2022)"
"38","Brasil",2018,1,7,1,0,1,0,"Franco H. (2022)"
"39","Brasil",2018,2,7,1,0,1,0,"Franco H. (2022)"
"40","Brasil",2022,1,7,1,0,1,0,"Franco H. (2022)"
"41","Brasil",2022,2,7,1,0,1,0,"Franco H. (2022)"
"42","Chile",1989,1,0,0,0,0,0,"Franco H. (2022)"
"43","Chile",1993,1,0,0,0,0,0,"Franco H. (2022)"
"44","Chile",2000,1,0,0,0,0,0,"Franco H. (2022)"
"45","Chile",2000,2,0,0,0,0,0,"Franco H. (2022)"
"46","Chile",2006,1,0,0,0,0,0,"Franco H. (2022)"
"47","Chile",2006,2,0,0,0,0,0,"Franco H. (2022)"
"48","Chile",2010,1,0,0,0,0,0,"Franco H. (2022)"
"49","Chile",2010,2,0,0,0,0,0,"Franco H. (2022)"
"50","Chile",2013,1,0,0,0,0,0,"Franco H. (2022)"
"51","Chile",2013,2,0,0,0,0,0,"Franco H. (2022)"
"52","Chile",2017,1,0,0,0,0,0,"Franco H. (2022)"
"53","Chile",2017,2,0,0,0,0,0,"Franco H. (2022)"
"54","Chile",2021,1,0,0,0,0,0,"Franco H. (2022)"
"55","Chile",2021,2,0,0,0,0,0,"Franco H. (2022)"
"56","Colombia",1974,1,0,0,0,0,0,"Franco H. (2022)"
"57","Colombia",1978,1,0,0,0,0,0,"Franco H. (2022)"
"58","Colombia",1982,1,0,0,0,0,0,"Franco H. (2022)"
"59","Colombia",1986,1,0,0,0,0,0,"Franco H. (2022)"
"60","Colombia",1990,1,0,0,0,0,0,"Franco H. (2022)"
"61","Colombia",1994,1,5,1,0,1,0,"Franco H. (2022)"
"62","Colombia",1994,2,5,1,0,1,0,"Franco H. (2022)"
"63","Colombia",1998,1,5,1,0,1,0,"Franco H. (2022)"
"64","Colombia",1998,2,5,1,0,1,0,"Franco H. (2022)"
"65","Colombia",2002,1,5,1,0,1,0,"Franco H. (2022)"
"66","Colombia",2006,1,5,1,0,1,0,"Franco H. (2022)"
"67","Colombia",2010,1,5,1,0,1,0,"Franco H. (2022)"
"68","Colombia",2010,2,5,1,0,1,0,"Franco H. (2022)"
"69","Colombia",2014,1,5,1,0,1,0,"Franco H. (2022)"
"70","Colombia",2014,2,5,1,0,1,0,"Franco H. (2022)"
"71","Colombia",2018,1,5,1,0,1,0,"Franco H. (2022)"
"72","Colombia",2018,2,5,1,0,1,0,"Franco H. (2022)"
"73","Colombia",2022,1,5,1,0,1,0,"Franco H. (2022)"
"74","Colombia",2022,2,5,1,0,1,0,"Franco H. (2022)"
"75","Costa Rica",1962,1,0,0,0,0,0,"Franco H. (2022)"
"76","Costa Rica",1966,1,0,0,0,0,0,"Franco H. (2022)"
"77","Costa Rica",1970,1,0,0,0,0,0,"Franco H. (2022)"
"78","Costa Rica",1974,1,0,0,0,0,0,"Franco H. (2022)"
"79","Costa Rica",1978,1,0,0,0,0,0,"Franco H. (2022)"
"80","Costa Rica",1982,1,0,0,0,0,0,"Franco H. (2022)"
"81","Costa Rica",1986,1,0,0,0,0,0,"Franco H. (2022)"
"82","Costa Rica",1990,1,0,0,0,0,0,"Franco H. (2022)"
"83","Costa Rica",1994,1,0,0,0,0,0,"Franco H. (2022)"
"84","Costa Rica",1998,1,7,1,0,1,0,"Franco H. (2022)"
"85","Costa Rica",2002,1,7,1,0,1,0,"Franco H. (2022)"
"86","Costa Rica",2002,2,7,1,0,1,0,"Franco H. (2022)"
"87","Costa Rica",2006,1,7,1,0,1,0,"Franco H. (2022)"
"88","Costa Rica",2010,1,7,1,0,1,0,"Franco H. (2022)"
"89","Costa Rica",2014,1,9,1,0,1,0,"Franco H. (2022)"
"90","Costa Rica",2014,2,9,1,0,1,0,"Franco H. (2022)"
"91","Costa Rica",2018,1,9,1,0,1,0,"Franco H. (2022)"
"92","Costa Rica",2018,2,9,1,0,1,0,"Franco H. (2022)"
"93","Costa Rica",2022,1,9,1,0,1,0,"Franco H. (2022)"
"94","Costa Rica",2022,2,9,1,0,1,0,"Franco H. (2022)"
"95","Ecuador",1960,1,0,0,0,0,0,"Franco H. (2022)"
"96","Ecuador",1968,1,0,0,0,0,0,"Franco H. (2022)"
"97","Ecuador",1979,1,0,0,0,0,0,"Franco H. (2022)"
"98","Ecuador",1979,2,0,0,0,0,0,"Franco H. (2022)"
"99","Ecuador",1984,1,0,0,0,0,0,"Franco H. (2022)"
"100","Ecuador",1984,2,0,0,0,0,0,"Franco H. (2022)"
"101","Ecuador",1988,1,0,0,0,0,0,"Franco H. (2022)"
"102","Ecuador",1988,2,0,0,0,0,0,"Franco H. (2022)"
"103","Ecuador",1992,1,0,0,0,0,0,"Franco H. (2022)"
"104","Ecuador",1992,2,0,0,0,0,0,"Franco H. (2022)"
"105","Ecuador",1996,1,0,0,0,0,0,"Franco H. (2022)"
"106","Ecuador",1996,2,0,0,0,0,0,"Franco H. (2022)"
"107","Ecuador",1998,1,0,0,0,0,0,"Franco H. (2022)"
"108","Ecuador",1998,2,0,0,0,0,0,"Franco H. (2022)"
"109","Ecuador",2002,1,0,0,0,0,0,"Franco H. (2022)"
"110","Ecuador",2002,2,0,0,0,0,0,"Franco H. (2022)"
"111","Ecuador",2006,1,0,0,0,0,0,"Franco H. (2022)"
"112","Ecuador",2006,2,0,0,0,0,0,"Franco H. (2022)"
"113","Ecuador",2009,1,3,1,0,0,1,"Franco H. (2022)"
"114","Ecuador",2013,1,3,1,0,0,1,"Franco H. (2022)"
"115","Ecuador",2017,1,3,1,0,0,1,"Franco H. (2022)"
"116","Ecuador",2017,2,3,1,0,0,1,"Franco H. (2022)"
"117","Ecuador",2021,1,11,1,1,0,0,"Franco H. (2022)"
"118","Ecuador",2021,2,11,1,1,0,0,"Franco H. (2022)"
"119","Ecuador",2023,1,11,1,1,0,0,"Franco H. (2022)"
"120","Ecuador",2023,2,11,1,1,0,0,"Franco H. (2022)"
"121","El Salvador",1984,1,0,0,0,0,0,"Franco H. (2022)"
"122","El Salvador",1984,2,0,0,0,0,0,"Franco H. (2022)"
"123","El Salvador",1989,1,0,0,0,0,0,"Franco H. (2022)"
"124","El Salvador",1994,1,0,0,0,0,0,"Franco H. (2022)"
"125","El Salvador",1994,2,0,0,0,0,0,"Franco H. (2022)"
"126","El Salvador",1999,1,0,0,0,0,0,"Franco H. (2022)"
"127","El Salvador",2004,1,0,0,0,0,0,"Franco H. (2022)"
"128","El Salvador",2009,1,0,0,0,0,0,"Franco H. (2022)"
"129","El Salvador",2014,1,0,0,0,0,0,"Franco H. (2022)"
"130","El Salvador",2014,2,0,0,0,0,0,"Franco H. (2022)"
"131","El Salvador",2019,1,0,0,0,0,0,"Franco H. (2022)"
"132","El Salvador",2024,1,0,0,0,0,0,"Franco H. (2022)"
"133","Guatemala",1966,1,0,0,0,0,0,"Franco H. (2022)"
"134","Guatemala",1970,1,0,0,0,0,0,"Franco H. (2022)"
"135","Guatemala",1974,1,0,0,0,0,0,"Franco H. (2022)"
"136","Guatemala",1978,1,0,0,0,0,0,"Franco H. (2022)"
"137","Guatemala",1982,1,0,0,0,0,0,"Franco H. (2022)"
"138","Guatemala",1985,1,0,0,0,0,0,"Franco H. (2022)"
"139","Guatemala",1985,2,0,0,0,0,0,"Franco H. (2022)"
"140","Guatemala",1991,1,0,0,0,0,0,"Franco H. (2022)"
"141","Guatemala",1991,2,0,0,0,0,0,"Franco H. (2022)"
"142","Guatemala",1995,1,0,0,0,0,0,"Franco H. (2022)"
"143","Guatemala",1995,2,0,0,0,0,0,"Franco H. (2022)"
"144","Guatemala",1999,1,0,0,0,0,0,"Franco H. (2022)"
"145","Guatemala",1999,2,0,0,0,0,0,"Franco H. (2022)"
"146","Guatemala",2003,1,0,0,0,0,0,"Franco H. (2022)"
"147","Guatemala",2003,2,0,0,0,0,0,"Franco H. (2022)"
"148","Guatemala",2007,1,0,0,0,0,0,"Franco H. (2022)"
"149","Guatemala",2007,2,0,0,0,0,0,"Franco H. (2022)"
"150","Guatemala",2011,1,0,0,0,0,0,"Franco H. (2022)"
"151","Guatemala",2011,2,0,0,0,0,0,"Franco H. (2022)"
"152","Guatemala",2015,1,0,0,0,0,0,"Franco H. (2022)"
"153","Guatemala",2015,2,0,0,0,0,0,"Franco H. (2022)"
"154","Guatemala",2019,1,0,0,0,0,0,"Franco H. (2022)"
"155","Guatemala",2019,2,0,0,0,0,0,"Franco H. (2022)"
"156","Guatemala",2023,1,0,0,0,0,0,"Franco H. (2022)"
"157","Guatemala",2023,2,0,0,0,0,0,"Franco H. (2022)"
"158","Honduras",1981,1,0,0,0,0,0,"Franco H. (2022)"
"159","Honduras",1985,1,0,0,0,0,0,"Franco H. (2022)"
"160","Honduras",1989,1,0,0,0,0,0,"Franco H. (2022)"
"161","Honduras",1993,1,0,0,0,0,0,"Franco H. (2022)"
"162","Honduras",1997,1,0,0,0,0,0,"Franco H. (2022)"
"163","Honduras",2001,1,0,0,0,0,0,"Franco H. (2022)"
"164","Honduras",2005,1,0,0,0,0,0,"Franco H. (2022)"
"165","Honduras",2009,1,0,0,0,0,0,"Franco H. (2022)"
"166","Honduras",2013,1,0,0,0,0,0,"Franco H. (2022)"
"167","Honduras",2017,1,0,0,0,0,0,"Franco H. (2022)"
"168","Honduras",2021,1,0,0,0,0,0,"Franco H. (2022)"
"169","Mexico",1982,1,0,0,0,0,0,"Franco H. (2022)"
"170","Mexico",1988,1,0,0,0,0,0,"Franco H. (2022)"
"171","Mexico",1994,1,1,1,0,0,1,"Franco H. (2022)"
"172","Mexico",2000,1,5,1,0,1,0,"Franco H. (2022)"
"173","Mexico",2006,1,5,1,0,1,0,"Franco H. (2022)"
"174","Mexico",2012,1,9,1,0,1,0,"Franco H. (2022)"
"175","Mexico",2018,1,9,1,0,1,0,"Franco H. (2022)"
"176","Nicaragua",1984,1,3,1,0,0,1,"Franco H. (2022)"
"177","Nicaragua",1990,1,3,1,0,0,1,"Franco H. (2022)"
"178","Nicaragua",1996,1,0,0,0,0,0,"Franco H. (2022)"
"179","Nicaragua",2001,1,0,0,0,0,0,"Franco H. (2022)"
"180","Nicaragua",2006,1,0,0,0,0,0,"Franco H. (2022)"
"181","Nicaragua",2011,1,0,0,0,0,0,"Franco H. (2022)"
"182","Nicaragua",2016,1,0,0,0,0,0,"Franco H. (2022)"
"183","Panama",1994,1,0,0,0,0,0,"Franco H. (2022)"
"184","Panama",1999,1,0,0,0,0,0,"Franco H. (2022)"
"185","Panama",2004,1,3,1,0,0,1,"Franco H. (2022)"
"186","Panama",2009,1,3,1,0,0,1,"Franco H. (2022)"
"187","Panama",2014,1,3,1,0,0,1,"Franco H. (2022)"
"188","Panama",2019,1,10,1,0,1,0,"Franco H. (2022)"
"189","Paraguay",1989,1,0,0,0,0,0,"Franco H. (2022)"
"190","Paraguay",1993,1,0,0,0,0,0,"Franco H. (2022)"
"191","Paraguay",1998,1,0,0,0,0,0,"Franco H. (2022)"
"192","Paraguay",2003,1,0,0,0,0,0,"Franco H. (2022)"
"193","Paraguay",2008,1,0,0,0,0,0,"Franco H. (2022)"
"194","Paraguay",2013,1,0,0,0,0,0,"Franco H. (2022)"
"195","Paraguay",2018,1,0,0,0,0,0,"Franco H. (2022)"
"196","Paraguay",2023,1,0,0,0,0,0,"Franco H. (2022)"
"197","Peru",1980,1,0,0,0,0,0,"Franco H. (2022)"
"198","Peru",1985,1,0,0,0,0,0,"Franco H. (2022)"
"199","Peru",1990,1,0,0,0,0,0,"Franco H. (2022)"
"200","Peru",1990,2,0,0,0,0,0,"Franco H. (2022)"
"201","Peru",1995,1,0,0,0,0,0,"Franco H. (2022)"
"202","Peru",2000,1,0,0,0,0,0,"Franco H. (2022)"
"203","Peru",2000,2,0,0,0,0,0,"Franco H. (2022)"
"204","Peru",2001,1,0,0,0,0,0,"Franco H. (2022)"
"205","Peru",2001,2,0,0,0,0,0,"Franco H. (2022)"
"206","Peru",2006,1,0,0,0,0,0,"Franco H. (2022)"
"207","Peru",2006,2,0,0,0,0,0,"Franco H. (2022)"
"208","Peru",2011,1,0,0,0,0,0,"Franco H. (2022)"
"209","Peru",2011,2,0,0,0,0,0,"Franco H. (2022)"
"210","Peru",2016,1,0,0,0,0,0,"Franco H. (2022)"
"211","Peru",2016,2,0,0,0,0,0,"Franco H. (2022)"
"212","Peru",2021,1,0,0,0,0,0,"Franco H. (2022)"
"213","Peru",2021,2,0,0,0,0,0,"Franco H. (2022)"
"214","Republica Dominicana",1978,1,0,0,0,0,0,"Franco H. (2022)"
"215","Republica Dominicana",1982,1,0,0,0,0,0,"Franco H. (2022)"
"216","Republica Dominicana",1986,1,0,0,0,0,0,"Franco H. (2022)"
"217","Republica Dominicana",1990,1,0,0,0,0,0,"Franco H. (2022)"
"218","Republica Dominicana",1994,1,0,0,0,0,0,"Franco H. (2022)"
"219","Republica Dominicana",1996,1,0,0,0,0,0,"Franco H. (2022)"
"220","Republica Dominicana",1996,2,0,0,0,0,0,"Franco H. (2022)"
"221","Republica Dominicana",2000,1,0,0,0,0,0,"Franco H. (2022)"
"222","Republica Dominicana",2004,1,0,0,0,0,0,"Franco H. (2022)"
"223","Republica Dominicana",2008,1,0,0,0,0,0,"Franco H. (2022)"
"224","Republica Dominicana",2012,1,0,0,0,0,0,"Franco H. (2022)"
"225","Republica Dominicana",2016,1,0,0,0,0,0,"Franco H. (2022)"
"226","Republica Dominicana",2020,1,6,1,0,1,0,"Franco H. (2022)"
"227","Uruguay",1984,1,0,0,0,0,0,"Franco H. (2022)"
"228","Uruguay",1989,1,0,0,0,0,0,"Franco H. (2022)"
"229","Uruguay",1994,1,0,0,0,0,0,"Franco H. (2022)"
"230","Uruguay",1999,1,0,0,0,0,0,"Franco H. (2022)"
"231","Uruguay",1999,2,0,0,0,0,0,"Franco H. (2022)"
"232","Uruguay",2004,1,0,0,0,0,0,"Franco H. (2022)"
"233","Uruguay",2009,1,0,0,0,0,0,"Franco H. (2022)"
"234","Uruguay",2009,2,0,0,0,0,0,"Franco H. (2022)"
"235","Uruguay",2014,1,0,0,0,0,0,"Franco H. (2022)"
"236","Uruguay",2014,2,0,0,0,0,0,"Franco H. (2022)"
"237","Uruguay",2019,1,11,1,1,0,0,"Franco H. (2022)"
"238","Uruguay",2019,2,11,1,1,0,0,"Franco H. (2022)"
"239","Venezuela",1958,1,0,0,0,0,0,"Franco H. (2022)"
