"","cat_pais","ncat_eleccion","ncat_ronda","satisfaccion","source_satisfaccion"
"1","Argentina",1983,1,NA,NA
"2","Argentina",1989,1,NA,NA
"3","Argentina",1995,1,0.505,"Promedio de valores provenientes de:Latinobarometro"
"4","Argentina",1999,1,0.486666666666667,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible Latinobarometro"
"5","Argentina",2003,1,0.341666666666667,"Promedio de valores provenientes de:Latinobarometro"
"6","Argentina",2007,1,0.417595895020189,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Latinobarometro"
"7","Argentina",2011,1,0.510567375886525,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Latinobarometro"
"8","Argentina",2015,1,0.556878306878307,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Latinobarometro"
"9","Argentina",2015,2,0.556878306878307,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Latinobarometro"
"10","Argentina",2019,1,0.363667102966841,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Proyectado. Ultimo valor disponible Latinobarometro"
"11","Argentina",2023,1,0.376834415584415,"Promedio de valores provenientes de:LAPOP;Latinobarometro"
"12","Argentina",2023,2,0.376834415584415,"Promedio de valores provenientes de:LAPOP;Latinobarometro"
"13","Bolivia",1978,1,NA,NA
"14","Bolivia",1979,1,NA,NA
"15","Bolivia",1980,1,NA,NA
"16","Bolivia",1985,1,NA,NA
"17","Bolivia",1989,1,NA,NA
"18","Bolivia",1993,1,NA,NA
"19","Bolivia",1997,1,0.334170854271357,"Promedio de valores provenientes de:Latinobarometro"
"20","Bolivia",2002,1,0.235909822866345,"Promedio de valores provenientes de:Latinobarometro"
"21","Bolivia",2005,1,0.35923828125,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Latinobarometro"
"22","Bolivia",2009,1,0.492754745254745,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Latinobarometro"
"23","Bolivia",2014,1,0.461272831050228,"Promedio de valores provenientes de:LAPOP;Valor proyectado segun ultimo valor disponible Latinobarometro"
"24","Bolivia",2019,1,0.372384066587396,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Proyectado. Ultimo valor disponible Latinobarometro"
"25","Bolivia",2020,1,0.326550733254062,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Latinobarometro"
"26","Brasil",1989,1,NA,NA
"27","Brasil",1989,2,NA,NA
"28","Brasil",1994,1,0.295,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible Latinobarometro"
"29","Brasil",1998,1,0.253,"Promedio de valores provenientes de:Latinobarometro"
"30","Brasil",2002,1,0.207,"Promedio de valores provenientes de:Latinobarometro"
"31","Brasil",2002,2,0.207,"Promedio de valores provenientes de:Latinobarometro"
"32","Brasil",2006,1,0.372994056056965,"Promedio de valores provenientes de:LAPOP;Latinobarometro"
"33","Brasil",2006,2,0.372994056056965,"Promedio de valores provenientes de:LAPOP;Latinobarometro"
"34","Brasil",2010,1,0.549736842809759,"Promedio de valores provenientes de:LAPOP;Latinobarometro"
"35","Brasil",2010,2,0.549736842809759,"Promedio de valores provenientes de:LAPOP;Latinobarometro"
"36","Brasil",2014,1,0.329983388704319,"Promedio de valores provenientes de:LAPOP;Valor proyectado segun ultimo valor disponible Latinobarometro"
"37","Brasil",2014,2,0.329983388704319,"Promedio de valores provenientes de:LAPOP;Valor proyectado segun ultimo valor disponible Latinobarometro"
"38","Brasil",2018,1,0.269023698264352,"Promedio de valores provenientes de:LAPOP;Valor proyectado segun ultimo valor disponible Latinobarometro"
"39","Brasil",2018,2,0.269023698264352,"Promedio de valores provenientes de:LAPOP;Valor proyectado segun ultimo valor disponible Latinobarometro"
"40","Brasil",2022,1,0.193597601276029,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Proyectado. Ultimo valor disponible Latinobarometro"
"41","Brasil",2022,2,0.193597601276029,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Proyectado. Ultimo valor disponible Latinobarometro"
"42","Chile",1989,1,NA,NA
"43","Chile",1993,1,NA,NA
"44","Chile",2000,1,0.315833333333333,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible Latinobarometro"
"45","Chile",2000,2,0.353338968723584,"Promedio de valores provenientes de:Latinobarometro"
"46","Chile",2006,1,0.514007635684465,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Latinobarometro"
"47","Chile",2006,2,0.496924302351132,"Promedio de valores provenientes de:LAPOP;Latinobarometro"
"48","Chile",2010,1,0.500845612311722,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Latinobarometro"
"49","Chile",2010,2,0.590642493638677,"Promedio de valores provenientes de:LAPOP;Latinobarometro"
"50","Chile",2013,1,0.31707670273711,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Latinobarometro"
"51","Chile",2013,2,0.31707670273711,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Latinobarometro"
"52","Chile",2017,1,0.33549358974359,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Latinobarometro"
"53","Chile",2017,2,0.33549358974359,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Latinobarometro"
"54","Chile",2021,1,0.174944143534191,"Promedio de valores provenientes de:LAPOP;Valor proyectado segun ultimo valor disponible Latinobarometro"
"55","Chile",2021,2,0.174944143534191,"Promedio de valores provenientes de:LAPOP;Valor proyectado segun ultimo valor disponible Latinobarometro"
"56","Colombia",1974,1,NA,NA
"57","Colombia",1978,1,NA,NA
"58","Colombia",1982,1,NA,NA
"59","Colombia",1986,1,NA,NA
"60","Colombia",1990,1,NA,NA
"61","Colombia",1994,1,NA,NA
"62","Colombia",1994,2,NA,NA
"63","Colombia",1998,1,0.241666666666667,"Promedio de valores provenientes de:Latinobarometro"
"64","Colombia",1998,2,0.241666666666667,"Promedio de valores provenientes de:Latinobarometro"
"65","Colombia",2002,1,0.1075,"Promedio de valores provenientes de:Latinobarometro"
"66","Colombia",2006,1,0.440481220657277,"Promedio de valores provenientes de:LAPOP;Latinobarometro"
"67","Colombia",2010,1,0.461586985391766,"Promedio de valores provenientes de:LAPOP;Latinobarometro"
"68","Colombia",2010,2,0.461586985391766,"Promedio de valores provenientes de:LAPOP;Latinobarometro"
"69","Colombia",2014,1,0.312208110516934,"Promedio de valores provenientes de:LAPOP;Valor proyectado segun ultimo valor disponible Latinobarometro"
"70","Colombia",2014,2,0.312208110516934,"Promedio de valores provenientes de:LAPOP;Valor proyectado segun ultimo valor disponible Latinobarometro"
"71","Colombia",2018,1,0.225756915213469,"Promedio de valores provenientes de:LAPOP;Valor proyectado segun ultimo valor disponible Latinobarometro"
"72","Colombia",2018,2,0.225756915213469,"Promedio de valores provenientes de:LAPOP;Valor proyectado segun ultimo valor disponible Latinobarometro"
"73","Colombia",2022,1,0.143636819244905,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Proyectado. Ultimo valor disponible Latinobarometro"
"74","Colombia",2022,2,0.143636819244905,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Proyectado. Ultimo valor disponible Latinobarometro"
"75","Costa Rica",1962,1,NA,NA
"76","Costa Rica",1966,1,NA,NA
"77","Costa Rica",1970,1,NA,NA
"78","Costa Rica",1974,1,NA,NA
"79","Costa Rica",1978,1,NA,NA
"80","Costa Rica",1982,1,NA,NA
"81","Costa Rica",1986,1,NA,NA
"82","Costa Rica",1990,1,NA,NA
"83","Costa Rica",1994,1,NA,NA
"84","Costa Rica",1998,1,0.536,"Promedio de valores provenientes de:Latinobarometro"
"85","Costa Rica",2002,1,0.747514910536779,"Promedio de valores provenientes de:Latinobarometro"
"86","Costa Rica",2002,2,0.747514910536779,"Promedio de valores provenientes de:Latinobarometro"
"87","Costa Rica",2006,1,0.527905143620575,"Promedio de valores provenientes de:LAPOP;Latinobarometro"
"88","Costa Rica",2010,1,0.648666666666667,"Promedio de valores provenientes de:LAPOP;Latinobarometro"
"89","Costa Rica",2014,1,0.538846128822381,"Promedio de valores provenientes de:LAPOP;Valor proyectado segun ultimo valor disponible Latinobarometro"
