"","cat_pais","ncat_eleccion","ncat_ronda","voteshareincumbent","source_voteshareincumbent"
"1","Argentina",1983,1,0,"Imputado ya que no hay un claro oficialista"
"2","Argentina",1989,1,37.1,"Friedenberg (2016a) - "
"3","Argentina",1995,1,49.94,"Friedenberg (2016a) - "
"4","Argentina",1999,1,38.27,"Friedenberg (2016a) - "
"5","Argentina",2003,1,22.25,"Friedenberg (2016a) - "
"6","Argentina",2007,1,45.28,"Friedenberg (2016a) - "
"7","Argentina",2011,1,54.11,"Friedenberg (2016a) - "
"8","Argentina",2015,1,37.08,"Friedenberg (2016a) - "
"9","Argentina",2015,2,48.66,"Friedenberg (2016a) - "
"10","Argentina",2019,1,40.28,"Friedenberg (2016a) - "
"11","Argentina",2023,1,36.78,"Prensahttps://www.perfil.com/noticias/politica/escrutinio-definitivo-cuales-son-los-resultados-finales-de-las-elecciones-presidenciales.phtml - "
"12","Argentina",2023,2,44.31,"Friedenberg (2016a) - "
"13","Bolivia",1978,1,50.9,"Nohlen (2005b) Volumen II, p 150 - "
"14","Bolivia",1978,1,2.11,"Nohlen (2005b) Volumen II, p 151 - "
"15","Bolivia",1979,1,0,"Imputado ya que no hay un claro oficialista"
"16","Bolivia",1980,1,0,"Imputado ya que no hay un claro oficialista"
"17","Bolivia",1985,1,0,"Imputado ya que no hay un claro oficialista"
"18","Bolivia",1989,1,25.64,"Freidenberg (2024)https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231025 - "
"19","Bolivia",1993,1,21.05,"Freidenberg (2024)https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231028 - "
"20","Bolivia",1997,1,18.2,"Freidenberg (2024)https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231030 - "
"21","Bolivia",2002,1,3.39,"Political Database of the Americashttps://pdba.georgetown.edu/Elecdata/Bolivia/pres02.html - "
"22","Bolivia",2005,1,0,"Imputado ya que no hay un claro oficialista"
"23","Bolivia",2009,1,64.22,"Friedenberg (2016a) - "
"24","Bolivia",2014,1,61.36,"Friedenberg (2016a) - "
"25","Bolivia",2019,1,47.08,"Organo Electoral Plurinacionalhttps://www.oep.org.bo/wp-content/uploads/2019/11/Separata_Resultados_Nacionales_EG_2019.pdf - "
"26","Bolivia",2020,1,0,"Imputado ya que no hay un claro oficialista"
"27","Brasil",1989,1,4.43,"Political Database of the Americashttps://pdba.georgetown.edu/Elecdata/Brazil/pres89.html - "
"28","Brasil",1989,2,0,"Imputado ya que no hay un claro oficialista"
"29","Brasil",1994,1,54.27,"Friedenberg (2016a) - "
"30","Brasil",1998,1,53.06,"Friedenberg (2016a) - "
"31","Brasil",2002,1,23.19,"Friedenberg (2016a) - "
"32","Brasil",2002,2,38.72,"Friedenberg (2016a) - "
"33","Brasil",2006,1,48.61,"Friedenberg (2016a) - "
"34","Brasil",2006,2,60.83,"Friedenberg (2016a) - "
"35","Brasil",2010,1,46.91,"Friedenberg (2016a) - "
"36","Brasil",2010,2,56.05,"Friedenberg (2016a) - "
"37","Brasil",2014,1,41.59,"Friedenberg (2016a) - "
"38","Brasil",2014,2,51.64,"Friedenberg (2016a) - "
"39","Brasil",2018,1,1.2,"TSE Brasilhttps://sig.tse.jus.br/ords/dwapr/r/seai/sig-eleicao-resultados/maiores-votacoes?p0_ano=2018&session=106911297479454 - "
"40","Brasil",2018,2,0,"Imputado ya que no hay un claro oficialista"
"41","Brasil",2022,1,43.2,"Freidenberg (2024)https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231034 - "
"42","Brasil",2022,2,49.1,"Freidenberg (2024)https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231034 - "
"43","Chile",1989,1,29.4,"Friedenberg (2016a) - "
"44","Chile",1993,1,57.98,"Friedenberg (2016a) - "
"45","Chile",2000,1,47.95,"Friedenberg (2016a) - "
"46","Chile",2000,2,51.31,"Friedenberg (2016a) - "
"47","Chile",2006,1,45.96,"Friedenberg (2016a) - "
"48","Chile",2006,2,53.5,"Friedenberg (2016a) - "
"49","Chile",2010,1,29.6,"Friedenberg (2016a) - "
"50","Chile",2010,2,48.39,"Friedenberg (2016a) - "
"51","Chile",2013,1,25.03,"Friedenberg (2016a) - "
"52","Chile",2013,2,37.83,"Friedenberg (2016a) - "
"53","Chile",2017,1,0,"Imputado ya que no hay un claro oficialista"
"54","Chile",2017,2,45.42,"Freidenberg (2024)https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231034 - "
