"","cat_pais","ncat_eleccion","ncat_ronda","nombres_candidatos","dico_candidato_presente","id_debate","voteshare","source_voteshare","dico_reeleccion","dico_oficialista","dico_oficialistanoreeleccion","source_incumbencystatus","ninvitaciones","source_invitaciones","npresenciaspasadas","nausenciaspasadas","dicopresenciaspasadas","dicoausenciaspasadas","propausenciaspasadas","propausenciaspasadasfilled","source_participaciones","v2pashname","v2pariglef_vdem","source_v2pariglef","v2paactcom_vdem","source_v2paactcom","orgosc","orgestado","orgmmc","orgestadosp","orgmmcyp","source_orgdebate"
"1","Brasil",1989,1,"Leonel Brizola",1,1,15.45,"Political Database of the Americas https://pdba.georgetown.edu/Elecdata/Brazil/pres89.html",0,0,0,"Elaboración propia con base en fuentes secundarias",6,"Elaboracion propia con base en Franco Hantzsch (2022)",0,0,0,0,NA,0,"Elaboracion propia con base en Franco Hanztsch (2023)","PDT",NA,NA,NA,NA,0,0,1,0,1,"Elaboracion propia con base en Franco Hanztsch (2023)"
"2","Brasil",1989,1,"Luiz Inacio Lula da Silva",1,1,16.08,"Political Database of the Americas https://pdba.georgetown.edu/Elecdata/Brazil/pres89.html",0,0,0,"Elaboración propia con base en fuentes secundarias",6,"Elaboracion propia con base en Franco Hantzsch (2022)",0,0,0,0,NA,0,"Elaboracion propia con base en Franco Hanztsch (2023)","PT",NA,NA,NA,NA,0,0,1,0,1,"Elaboracion propia con base en Franco Hanztsch (2023)"
"3","Brasil",1989,1,"Mario Covas",1,1,10.78,"Political Database of the Americas https://pdba.georgetown.edu/Elecdata/Brazil/pres89.html",0,0,0,"Elaboración propia con base en fuentes secundarias",6,"Elaboracion propia con base en Franco Hantzsch (2022)",0,0,0,0,NA,0,"Elaboracion propia con base en Franco Hanztsch (2023)","PSDB",NA,NA,NA,NA,0,0,1,0,1,"Elaboracion propia con base en Franco Hanztsch (2023)"
"4","Brasil",1989,1,"Paulo Maluf",1,1,8.28,"Political Database of the Americas https://pdba.georgetown.edu/Elecdata/Brazil/pres89.html",0,0,0,"Elaboración propia con base en fuentes secundarias",6,"Elaboracion propia con base en Franco Hantzsch (2022)",0,0,0,0,NA,0,"Elaboracion propia con base en Franco Hanztsch (2023)","PDS",NA,NA,NA,NA,0,0,1,0,1,"Elaboracion propia con base en Franco Hanztsch (2023)"
"5","Brasil",1989,1,"Aureliano Chaves",1,1,0.83,"Political Database of the Americas https://pdba.georgetown.edu/Elecdata/Brazil/pres89.html",0,0,0,"Elaboración propia con base en fuentes secundarias",6,"Elaboracion propia con base en Franco Hantzsch (2022)",0,0,0,0,NA,0,"Elaboracion propia con base en Franco Hanztsch (2023)","PFL",NA,NA,NA,NA,0,0,1,0,1,"Elaboracion propia con base en Franco Hanztsch (2023)"
"6","Brasil",1989,1,"Guilherme Afif Domingos",1,1,4.53,"Political Database of the Americas https://pdba.georgetown.edu/Elecdata/Brazil/pres89.html",0,0,0,"Elaboración propia con base en fuentes secundarias",6,"Elaboracion propia con base en Franco Hantzsch (2022)",0,0,0,0,NA,0,"Elaboracion propia con base en Franco Hanztsch (2023)","PR / PL",NA,NA,NA,NA,0,0,1,0,1,"Elaboracion propia con base en Franco Hanztsch (2023)"
"7","Brasil",1989,1,"Roberto Freire",1,1,1.06,"Political Database of the Americas https://pdba.georgetown.edu/Elecdata/Brazil/pres89.html",0,0,0,"Elaboración propia con base en fuentes secundarias",6,"Elaboracion propia con base en Franco Hantzsch (2022)",0,0,0,0,NA,0,"Elaboracion propia con base en Franco Hanztsch (2023)",NA,NA,NA,NA,NA,0,0,1,0,1,"Elaboracion propia con base en Franco Hanztsch (2023)"
"8","Brasil",1989,1,"Ronaldo Caiado",1,1,0.68,"Political Database of the Americas https://pdba.georgetown.edu/Elecdata/Brazil/pres89.html",0,0,0,"Elaboración propia con base en fuentes secundarias",6,"Elaboracion propia con base en Franco Hantzsch (2022)",0,0,0,0,NA,0,"Elaboracion propia con base en Franco Hanztsch (2023)","PSD",NA,NA,NA,NA,0,0,1,0,1,"Elaboracion propia con base en Franco Hanztsch (2023)"
"9","Brasil",1989,1,"Affonso Camargo",1,1,0.52,"Political Database of the Americas https://pdba.georgetown.edu/Elecdata/Brazil/pres89.html",0,0,0,"Elaboración propia con base en fuentes secundarias",4,"Elaboracion propia con base en Franco Hantzsch (2022)",0,0,0,0,NA,0,"Elaboracion propia con base en Franco Hanztsch (2023)","PTB",NA,NA,NA,NA,0,0,1,0,1,"Elaboracion propia con base en Franco Hanztsch (2023)"
"10","Brasil",1989,1,"Leonel Brizola",1,2,15.45,"Political Database of the Americas https://pdba.georgetown.edu/Elecdata/Brazil/pres89.html",0,0,0,"Elaboración propia con base en fuentes secundarias",6,"Elaboracion propia con base en Franco Hantzsch (2022)",0,0,0,0,NA,0,"Elaboracion propia con base en Franco Hanztsch (2023)","PDT",NA,NA,NA,NA,0,0,1,0,1,"Elaboracion propia con base en Franco Hanztsch (2023)"
