"","cat_pais","ncat_eleccion","ncat_ronda","dico_debates_eleccion","eng_cat_pais","nec","source_nec","volatility","newparties","withinsv","source_volatility","alineamiento","source_alineamiento","marginvic","source_marginvic","ntc","source_ntc","all_ntc_caro","dico_reeleccion","dico_oficialista","voteshareincumbent","source_voteshareincumbent","exapprovalsmoothed","exapprovalnotsmoothed","source_exapproval","proptv","source_proptv","prohibicionpropaganda","accesogratuito","source_accesomedios","regulacionordinal","regulaciondico","regulacionobligatoriodico","regulaciongarantiasdico","regulacionposibilidaddico","source_regulacion","propindivinternet2","propindivinternet","source_propindivinternet2","source_propindivinternet","satisfaccion","source_satisfaccion","prop_elec_usa_ciclo","n_debates_usa_ciclo","dico_debates_usa_ciclo","source_debates_usa_ciclo","avgpropdebatesregionxciclo","lagpropdebatesregion","lagndebatesregion","source_region","X","dico_debates_pastelection","dico_2_eleccondebatesseguidos","dico_3_eleccondebatesseguidos","dico_4_eleccondebatesseguidos","dico_5_eleccondebatesseguidos","dico_6_eleccondebatesseguidos","dico_7_eleccondebatesseguidos","cumsum_pastciclos","source_lagged"
"1","Argentina",1983,1,0,"Argentina",2.3,"Lujan (2020)",NA,NA,NA,NA,NA,NA,-11.59,"Caluclo propio con base en datos desagregados por candidato",12,"Lujan (2020)",NA,0,0,0,"Imputado ya que no hay un claro oficialista",71.648933,70.143578,"Carlin et al (2023)",NA,NA,0,1,"(Waisbord, 1993, 1994: 129-130) (Planas, 2002)",0,0,0,0,0,"Franco H. (2022)",0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas",NA,NA,1,2,1,"Cuenta con base en información disponible en: https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-0",0.1,0.2,1,"Calculo con base en data recabada para Franco H. (2022)",1,NA,NA,NA,NA,NA,NA,NA,0,"Calculo con base en data recabada para Franco H. (2022)"
"2","Argentina",1989,1,0,"Argentina",2.91,"Lujan (2020)",24.6599998474121,2.1800000667572,22.5,"Mainwaring & Su (2021)",NA,NA,-10.41,"Caluclo propio con base en datos desagregados por candidato",10,"Lujan (2020)",NA,0,1,37.1,"Friedenberg (2016a) - ",43.76667,45.63483,"Carlin et al (2023)",NA,NA,0,1,"""en abril de 1989, a través de la Resolución 270/89, el Ministerio del Interior autorizó la concesión de espacios en las estaciones privadas y estatales de radio y televisión para las agrupaciones políticas, en forma igualitaria (...) aunque sin restringir la inversión publicitaria propia"". (Planas, 2002: 63-64). (Waisbord, 1994: 129-130)",0,0,0,0,0,"Franco H. (2022)",0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas",NA,NA,1,4,1,"Cuenta con base en información disponible en: https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-0",0.3,0,0,"Calculo con base en data recabada para Franco H. (2022)",2,0,NA,NA,NA,NA,NA,NA,0,"Calculo con base en data recabada para Franco H. (2022)"
"3","Argentina",1995,1,0,"Argentina",2.751791866,"Lujan (2020)",32.4199981689453,31.7999992370605,0.600000023841858,"Mainwaring & Su (2021)",37.5999984741211,"Mainwaring & Su (2021)",-20.64,"Caluclo propio con base en datos desagregados por candidato",14,"Lujan (2020)",NA,1,1,49.94,"Friedenberg (2016a) - ",40.545849,41.07383,"Carlin et al (2023)",95.75,"Promedio de valores provenientes de:Latinobarometro;NA",0,1,"Planas (2002)",0,0,0,0,0,"Franco H. (2022)",0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas",0.505,"Promedio de valores provenientes de:Latinobarometro",1,3,1,"Cuenta con base en información disponible en: https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-0",0.480687830687831,0.6,6,"Calculo con base en data recabada para Franco H. (2022)",3,0,0,NA,NA,NA,NA,NA,0,"Calculo con base en data recabada para Franco H. (2022)"
"4","Argentina",1999,1,0,"Argentina",2.559779756,"Lujan (2020)",44.1100006103516,10.8999996185303,33.2999992370605,"Mainwaring & Su (2021)",33.0999984741211,"Mainwaring & Su (2021)",-10.1,"Caluclo propio con base en datos desagregados por candidato",10,"Lujan (2020)",NA,0,1,38.27,"Friedenberg (2016a) - ",36.520069,42.150688,"Carlin et al (2023)",94.25,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible Latinobarometro;NA",0,1,"Planas (2002)",0,0,0,0,0,"Franco H. (2022)",0,5.630944,"Proyectado. Ultimo valor disponible UIT","Interpolación temporal con base en valores UIT usando función imputeTS::na_interpolation(",0.486666666666667,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible Latinobarometro",1,2,1,"Cuenta con base en información disponible en: https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-0",0.3125,0.5,4,"Calculo con base en data recabada para Franco H. (2022)",4,0,0,0,NA,NA,NA,NA,0,"Calculo con base en data recabada para Franco H. (2022)"
"5","Argentina",2003,1,0,"Argentina",6.342303105,"Lujan (2020)",73.0699996948242,69.9000015258789,3.20000004768372,"Mainwaring & Su (2021)",23.2999992370605,"Mainwaring & Su (2021)",-2.2,"Caluclo propio con base en datos desagregados por candidato",18,"Lujan (2020)",NA,0,1,22.25,"Friedenberg (2016a) - ",51.608471,61.316479,"Carlin et al (2023)",94.5833333333333,"Promedio de valores provenientes de:Latinobarometro;NA",0,1,"Freidenberg (2020)",0,0,0,0,0,"Franco H. (2022)",11.9137,11.9137,"UIT, con base en: SECOM.","UIT, con base en: SECOM.",0.341666666666667,"Promedio de valores provenientes de:Latinobarometro",1,3,1,"Cuenta con base en información disponible en: https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-0",0.354166666666667,0.75,6,"Calculo con base en data recabada para Franco H. (2022)",5,0,0,0,0,NA,NA,NA,0,"Calculo con base en data recabada para Franco H. (2022)"
"6","Argentina",2007,1,0,"Argentina",3.447551282,"Lujan (2020)",50.2200012207031,0.300000011920929,49.9000015258789,"Mainwaring & Su (2021)",24.8,"Proyectado. Ultimo valor disponible LAPOP",-22.23,"Caluclo propio con base en datos desagregados por candidato",14,"Lujan (2020)",NA,0,1,45.28,"Friedenberg (2016a) - ",56.436771,54.499931,"Carlin et al (2023)",96.6083333333333,"Promedio de valores provenientes de:Latinobarometro;Valor proyectado segun ultimo valor disponible LAPOP",1,1,"Freidenberg (2020)",0,0,0,0,0,"Franco H. (2022)",25.9466,25.9466,"UIT, con base en: SECOM.","UIT, con base en: SECOM.",0.417595895020189,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Latinobarometro",1,3,1,"Cuenta con base en información disponible en: https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-0",0.604166666666667,0.75,9,"Calculo con base en data recabada para Franco H. (2022)",6,0,0,0,0,0,NA,NA,0,"Calculo con base en data recabada para Franco H. (2022)"
"7","Argentina",2011,1,0,"Argentina",2.906240553,"Lujan (2020)",34.0999984741211,0,34.0999984741211,"Mainwaring & Su (2021)",19.5,"Proyectado. Ultimo valor disponible LAPOP",-37.3,"Caluclo propio con base en datos desagregados por candidato",7,"Lujan (2020)",NA,1,1,54.11,"Friedenberg (2016a) - ",52.407131,56.3372,"Carlin et al (2023)",97.2,"Promedio de valores provenientes de:NA;Valor proyectado segun ultimo valor disponible LAPOP",1,1,"Freidenberg (2020)",0,0,0,0,0,"Franco H. (2022)",51,51,"UIT, con base en: ITU estimate based on INDEC's survey.","UIT, con base en: ITU estimate based on INDEC's survey.",0.510567375886525,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Latinobarometro",1,3,1,"Cuenta con base en información disponible en: https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-0",0.552083333333333,1,6,"Calculo con base en data recabada para Franco H. (2022)",7,0,0,0,0,0,0,NA,0,"Calculo con base en data recabada para Franco H. (2022)"
"8","Argentina",2015,1,1,"Argentina",3.31333887942084,"Calculo propio con base en datos de candidatos",56.4599990844727,21.3899993896484,35.0699996948242,"Mainwaring & Su (2021)",25.7,"Proyectado. Ultimo valor disponible LAPOP",-2.93,"Caluclo propio con base en datos desagregados por candidato",6,"Calculo propio con base en datos de candidatos",6,0,1,37.08,"Friedenberg (2016a) - ",45.90873,47.603642,"Carlin et al (2023)",98.6,"Promedio de valores provenientes de:NA;Valor proyectado segun ultimo valor disponible LAPOP",1,1,"Freidenberg (2020)",0,0,0,0,0,"Franco H. (2022)",68.0431,68.0431,"UIT, con base en: Instituto Nacional de Estadistica y Censos","UIT, con base en: Instituto Nacional de Estadistica y Censos",0.556878306878307,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Latinobarometro",1,3,1,"Cuenta con base en información disponible en: https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-0",0.645833333333333,0.75,9,"Calculo con base en data recabada para Franco H. (2022)",8,0,0,0,0,0,0,0,0,"Calculo con base en data recabada para Franco H. (2022)"
"9","Argentina",2015,2,1,"Argentina",1.99856455099689,"Calculo propio con base en datos de candidatos",56.4599990844727,21.3899993896484,35.0699996948242,"Mainwaring & Su (2021)",25.7,"Proyectado. Ultimo valor disponible LAPOP",-2.68000000000001,"Caluclo propio con base en datos desagregados por candidato",2,"Calculo propio con base en datos de candidatos",2,0,1,48.66,"Friedenberg (2016a) - ",45.90873,47.603642,"Carlin et al (2023)",98.6,"Promedio de valores provenientes de:NA;Valor proyectado segun ultimo valor disponible LAPOP",1,1,"Freidenberg (2020)",0,0,0,0,0,"Franco H. (2022)",68.0431,68.0431,"UIT, con base en: Instituto Nacional de Estadistica y Censos","UIT, con base en: Instituto Nacional de Estadistica y Censos",0.556878306878307,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Latinobarometro",1,3,1,"Cuenta con base en información disponible en: https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-0",0.645833333333333,0.75,9,"Calculo con base en data recabada para Franco H. (2022)",9,0,0,0,0,0,0,0,0,"Calculo con base en data recabada para Franco H. (2022)"
"10","Argentina",2019,1,1,"Argentina",2.50178308334808,"Calculo propio con base en datos de candidatos",NA,NA,NA,NA,23,"Proyectado. Ultimo valor disponible LAPOP",-7.96,"Caluclo propio con base en datos desagregados por candidato",6,"Calculo propio con base en datos de candidatos",6,1,1,40.28,"Friedenberg (2016a) - ",35.490421,36.542099,"Carlin et al (2023)",97.1,"Promedio de valores provenientes de:NA;Valor proyectado segun ultimo valor disponible LAPOP",1,1,"Freidenberg (2020)",9,1,1,0,0,"Franco H. (2022)",79.947,79.947,"UIT, con base en: Instituto Nacional de Estadistica y Censos","UIT, con base en: Instituto Nacional de Estadistica y Censos",0.363667102966841,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Proyectado. Ultimo valor disponible Latinobarometro",1,3,1,"Cuenta con base en información disponible en: https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-0",0.804166666666667,0.666666666666667,6,"Calculo con base en data recabada para Franco H. (2022)",10,1,0,0,0,0,0,0,1,"Calculo con base en data recabada para Franco H. (2022)"
