"","cat_pais","ncat_eleccion","ncat_ronda","dico_debates_eleccion","eng_cat_pais","marginvic","vote_share"
"1","Bolivia",1978,1,0,NA,NA,NA
"2","Bolivia",1978,1,0,NA,NA,NA
"3","Bolivia",1979,1,0,NA,NA,NA
"4","Bolivia",1979,1,0,NA,NA,NA
"5","Costa Rica",1962,1,0,NA,NA,NA
"6","Costa Rica",1962,1,0,NA,NA,NA
"7","Costa Rica",1966,1,0,NA,NA,NA
"8","Costa Rica",1966,1,0,NA,NA,NA
"9","Costa Rica",1970,1,0,NA,NA,NA
"10","Costa Rica",1970,1,0,NA,NA,NA
"11","Costa Rica",1974,1,0,NA,NA,NA
"12","Costa Rica",1974,1,0,NA,NA,NA
"13","Ecuador",1960,1,0,NA,NA,NA
"14","Ecuador",1960,1,0,NA,NA,NA
"15","Ecuador",1968,1,0,NA,NA,NA
"16","Ecuador",1968,1,0,NA,NA,NA
"17","El Salvador",1984,2,0,NA,NA,NA
"18","El Salvador",1984,2,0,NA,NA,NA
"19","Guatemala",1966,1,0,NA,NA,NA
"20","Guatemala",1966,1,0,NA,NA,NA
"21","Guatemala",1970,1,0,NA,NA,NA
"22","Guatemala",1970,1,0,NA,NA,NA
"23","Guatemala",1974,1,0,NA,NA,NA
"24","Guatemala",1974,1,0,NA,NA,NA
"25","Guatemala",1978,1,0,NA,NA,NA
"26","Guatemala",1978,1,0,NA,NA,NA
"27","Guatemala",1982,1,0,NA,NA,NA
"28","Guatemala",1982,1,0,NA,NA,NA
"29","Nicaragua",2016,1,0,NA,NA,NA
"30","Nicaragua",2016,1,0,NA,NA,NA
"31","Venezuela",1958,1,0,NA,NA,NA
"32","Venezuela",1958,1,0,NA,NA,NA
"33","Venezuela",1963,1,1,NA,NA,NA
"34","Venezuela",1963,1,1,NA,NA,NA
"35","Venezuela",1968,1,1,NA,NA,NA
"36","Venezuela",1968,1,1,NA,NA,NA
"37","Venezuela",1973,1,0,NA,NA,NA
"38","Venezuela",1973,1,0,NA,NA,NA
