"","cat_pais","ncat_eleccion","ncat_ronda","dico_debates_eleccion","nec"
"1","Argentina",2015,2,1,NA
"2","Argentina",2019,1,1,NA
"3","Argentina",2023,1,1,NA
"4","Argentina",2023,2,1,NA
"5","Bolivia",1978,1,0,NA
"6","Bolivia",1979,1,0,NA
"7","Bolivia",1980,1,0,NA
"8","Bolivia",2019,1,0,NA
"9","Bolivia",2020,1,1,NA
"10","Brasil",1989,2,1,NA
"11","Brasil",2002,2,1,NA
"12","Brasil",2006,2,1,NA
"13","Brasil",2010,2,1,NA
"14","Brasil",2014,2,1,NA
"15","Brasil",2018,1,1,NA
"16","Brasil",2018,2,0,NA
"17","Brasil",2022,1,1,NA
"18","Brasil",2022,2,1,NA
"19","Chile",2000,2,0,NA
"20","Chile",2006,2,1,NA
"21","Chile",2010,2,1,NA
"22","Chile",2013,2,1,NA
"23","Chile",2017,2,1,NA
"24","Chile",2021,1,1,NA
"25","Chile",2021,2,1,NA
"26","Colombia",1974,1,0,NA
"27","Colombia",1978,1,0,NA
"28","Colombia",1994,2,0,NA
"29","Colombia",1998,2,1,NA
"30","Colombia",2010,2,1,NA
"31","Colombia",2014,2,1,NA
"32","Colombia",2018,1,1,NA
"33","Colombia",2018,2,0,NA
"34","Colombia",2022,1,1,NA
"35","Colombia",2022,2,0,NA
"36","Costa Rica",1962,1,0,NA
"37","Costa Rica",1966,1,0,NA
"38","Costa Rica",1970,1,0,NA
"39","Costa Rica",1974,1,0,NA
"40","Costa Rica",1978,1,0,NA
"41","Costa Rica",2002,2,1,NA
"42","Costa Rica",2014,2,0,NA
"43","Costa Rica",2018,1,1,NA
"44","Costa Rica",2018,2,1,NA
"45","Costa Rica",2022,1,1,NA
"46","Costa Rica",2022,2,1,NA
"47","Ecuador",1960,1,0,NA
"48","Ecuador",1968,1,0,NA
"49","Ecuador",1979,1,1,NA
"50","Ecuador",1979,2,1,NA
"51","Ecuador",1984,2,1,NA
"52","Ecuador",1988,2,0,NA
"53","Ecuador",1992,2,0,NA
"54","Ecuador",1996,2,0,NA
"55","Ecuador",1998,2,0,NA
"56","Ecuador",2002,2,0,NA
"57","Ecuador",2006,2,0,NA
"58","Ecuador",2017,1,1,NA
"59","Ecuador",2017,2,0,NA
"60","Ecuador",2021,1,1,NA
"61","Ecuador",2021,2,1,NA
"62","Ecuador",2023,1,1,NA
"63","Ecuador",2023,2,1,NA
"64","El Salvador",1984,2,0,NA
"65","El Salvador",1994,2,0,NA
"66","El Salvador",2014,2,0,NA
"67","El Salvador",2019,1,1,NA
"68","El Salvador",2024,1,0,NA
"69","Guatemala",1966,1,0,NA
"70","Guatemala",1970,1,0,NA
"71","Guatemala",1974,1,0,NA
"72","Guatemala",1978,1,0,NA
"73","Guatemala",1982,1,0,NA
"74","Guatemala",1985,2,0,NA
"75","Guatemala",1991,2,0,NA
"76","Guatemala",1995,2,1,NA
"77","Guatemala",1999,2,0,NA
"78","Guatemala",2003,2,1,NA
"79","Guatemala",2007,2,0,NA
"80","Guatemala",2011,2,1,NA
"81","Guatemala",2015,2,1,NA
"82","Guatemala",2019,1,1,NA
"83","Guatemala",2019,2,0,NA
"84","Guatemala",2023,1,1,NA
"85","Guatemala",2023,2,1,NA
"86","Honduras",2017,1,1,NA
"87","Mexico",2018,1,1,NA
"88","Nicaragua",1984,1,0,NA
"89","Panama",2019,1,1,NA
"90","Paraguay",1989,1,0,NA
"91","Paraguay",2018,1,1,NA
"92","Paraguay",2023,1,1,NA
"93","Peru",1990,2,1,NA
"94","Peru",2000,1,0,NA
"95","Peru",2000,2,0,NA
"96","Peru",2001,2,1,NA
"97","Peru",2006,2,1,NA
"98","Peru",2011,2,1,NA
"99","Peru",2016,2,1,NA
"100","Peru",2021,1,1,NA
"101","Peru",2021,2,1,NA
"102","Republica Dominicana",1978,1,0,NA
"103","Republica Dominicana",1982,1,0,NA
"104","Republica Dominicana",1986,1,0,NA
"105","Republica Dominicana",1990,1,0,NA
"106","Republica Dominicana",1996,2,0,NA
"107","Republica Dominicana",2020,1,0,NA
"108","Uruguay",1999,2,0,NA
"109","Uruguay",2009,2,0,NA
"110","Uruguay",2014,2,0,NA
"111","Uruguay",2019,1,1,NA
"112","Uruguay",2019,2,1,NA
"113","Venezuela",1958,1,0,NA
"114","Venezuela",1963,1,1,NA
"115","Venezuela",1968,1,1,NA
"116","Venezuela",1973,1,0,NA
"117","Venezuela",1978,1,0,NA
"118","Venezuela",2018,1,0,NA
