"","cat_pais","ncat_eleccion","ncat_ronda","dico_debates_eleccion","eng_cat_pais","voteshareincumbent","source_voteshareincumbent"
"28","Brasil",1989,2,1,"Brazil",NA,NA
"40","Brasil",2018,2,0,"Brazil",NA,NA
"56","Chile",2021,2,1,"Chile",NA,NA
"57","Colombia",1974,1,0,"Colombia",NA,NA
"60","Colombia",1986,1,1,"Colombia",NA,NA
"75","Colombia",2022,2,0,"Colombia",NA,NA
"77","Costa Rica",1966,1,0,"Costa Rica",NA,NA
"80","Costa Rica",1978,1,1,"Costa Rica",NA,NA
"81","Costa Rica",1982,1,1,"Costa Rica",NA,NA
"95","Costa Rica",2022,2,1,"Costa Rica",NA,NA
"96","Ecuador",1960,1,0,"Ecuador",NA,NA
"101","Ecuador",1984,2,1,"Ecuador",NA,NA
"102","Ecuador",1988,1,0,"Ecuador",NA,NA
"103","Ecuador",1988,2,0,"Ecuador",NA,NA
"105","Ecuador",1992,2,0,"Ecuador",NA,NA
"134","Guatemala",1966,1,0,"Guatemala",NA,NA
"142","Guatemala",1991,2,0,"Guatemala",NA,NA
"148","Guatemala",2003,2,1,"Guatemala",NA,NA
"150","Guatemala",2007,2,0,"Guatemala",NA,NA
"156","Guatemala",2019,2,0,"Guatemala",NA,NA
"158","Guatemala",2023,2,1,"Guatemala",NA,NA
"201","Peru",1990,2,1,"Peru",NA,NA
"214","Peru",2021,2,1,"Peru",NA,NA
"220","Republica Dominicana",1996,1,0,"Dominican Republic",NA,NA
"221","Republica Dominicana",1996,2,0,"Dominican Republic",NA,NA
"233","Uruguay",2004,1,0,"Uruguay",NA,NA
