"","cat_pais","ncat_eleccion","average_confianza_tv","average_confianza_ppols","median_confianza_tv","median_confianza_ppols","sd_confianza_tv","sd_confianza_ppols","dico_confianza_tv_0","dico_confianza_tv_1","dico_confianza_tv_2","dico_confianza_tv_3","dico_confianza_ppols_0","dico_confianza_ppols_1","dico_confianza_ppols_2","dico_confianza_ppols_3","average_dias_tv","median_dias_tv","sd_dias_tv"
"1","Argentina",1995,1.4106529209622,0.979930191972077,1,1,0.821941111976022,0.841364245882377,167,437,475,85,377,455,274,40,3.02252252252252,3,0.839960568944918
"2","Argentina",1996,1.45508982035928,0.684931506849315,2,0,0.877756039007672,0.79741161951309,195,357,507,110,592,373,182,21,3.30864197530864,4,0.799650207525825
"3","Argentina",1997,1.49827586206897,0.964098073555166,2,1,1.00559116483227,0.882951796354226,242,297,422,199,423,380,296,43,3.03605980650836,3,0.883894206481194
"4","Argentina",1998,1.23748939779474,0.695836873406967,1,1,0.969616069074261,0.807653441898581,339,329,403,108,587,391,169,30,NA,NA,NA
"5","Argentina",2000,1.07384882710686,0.647058823529412,1,0,0.938418118406167,0.806453347026612,391,360,324,76,614,341,156,28,3.35190097259063,4,0.804821429602695
"6","Argentina",2001,1.20928270042194,0.58078231292517,1,0,0.930025560121435,0.759801586794481,325,376,395,89,665,363,124,24,3.41723549488055,4,0.760338278688362
"7","Argentina",2002,1.10460251046025,0.244313395113732,1,0,0.914211583418562,0.539462223175611,378,379,373,65,956,176,51,4,3.75664095972579,4,0.537517028779775
"8","Argentina",2003,1.08758503401361,0.421232876712329,1,0,0.865400530314978,0.648479484933844,340,446,337,53,777,292,97,2,3.57692307692308,4,0.65359460187913
"9","Argentina",2004,0.977291841883936,0.595439189189189,1,0,0.884008165959961,0.729301806957261,425,419,292,53,637,403,130,14,3.40191804707934,4,0.725811683984008
"10","Argentina",2005,1.24322033898305,0.809121621621622,1,1,0.859609041217017,0.779525337555182,257,449,404,70,470,494,196,24,3.18973020017406,3,0.778991808204153
"11","Argentina",2006,1.65213746856664,0.578726968174204,2,0,0.810292975360613,0.738760240675805,112,335,602,144,670,370,141,13,3.42458100558659,4,0.732923686953172
"12","Argentina",2007,1.26981450252951,0.681475272422464,1,1,0.818385443109871,0.735577549829065,220,486,420,60,560,466,154,13,3.31462585034014,3,0.737787627503436
"13","Argentina",2008,1.31821998320739,0.653813914501257,1,1,0.869847193363304,0.742990255006358,240,413,457,81,591,440,146,16,NA,NA,NA
"14","Argentina",2009,1.48324958123953,0.674223341729639,2,1,0.84516523113344,0.742242036557387,159,417,500,118,574,442,164,11,3.32519616390584,3,0.741267858066418
"15","Argentina",2010,1.42510460251046,0.842194092827004,1,1,0.819591996140719,0.775190852349553,167,441,499,88,451,483,238,13,3.15891800507185,3,0.775100787642356
"16","Argentina",2011,1.29278523489933,0.943602693602694,1,1,0.81382778377602,0.770792314640918,218,460,461,53,372,527,273,16,3.05663567202029,3,0.77021840244011
"17","Argentina",2013,1.32575757575758,0.910774410774411,1,1,0.850656032173487,0.858351159104112,221,437,452,78,450,439,254,45,NA,NA,NA
"18","Argentina",2015,1.31428571428571,0.853310980720872,1,1,0.857587293164429,0.827043646151392,221,462,419,88,482,430,255,26,NA,NA,NA
"19","Argentina",2016,NA,0.801709401709402,NA,1,NA,0.789146099568477,0,0,0,0,484,453,214,19,NA,NA,NA
"20","Argentina",2017,NA,0.701441899915182,NA,0,NA,0.8079126665147,0,0,0,0,590,374,192,23,NA,NA,NA
"21","Argentina",2018,NA,0.621827411167513,NA,0,NA,0.769858104519193,0,0,0,0,640,367,157,18,NA,NA,NA
"22","Argentina",2020,1.16566005176877,0.51118760757315,1,0,0.885594396597741,0.725061737311119,305,426,359,69,716,310,124,12,NA,NA,NA
"23","Argentina",2023,1.11316010058676,0.738135593220339,1,1,0.850248377854545,0.794427100218494,322,463,359,49,543,427,186,24,NA,NA,NA
"24","Bolivia",1996,1.7696335078534,0.661417322834646,2,0,0.906836924467813,0.793075874074198,79,185,333,167,398,238,112,14,3.33006993006993,4,0.788665767345032
"25","Bolivia",1997,1.53636363636364,0.830911492734478,2,1,0.946887185592368,0.864004359457401,127,225,296,122,324,270,130,33,3.17438692098093,3,0.862812490884462
"26","Bolivia",1998,1.49210526315789,0.770161290322581,2,1,0.939509467206662,0.823361442788816,136,218,302,104,343,243,144,14,NA,NA,NA
"27","Bolivia",2000,1.51981132075472,0.478136882129278,2,0,0.9444355010988,0.721095178997296,192,273,447,148,684,240,121,7,3.51204819277108,4,0.729049371867123
"28","Bolivia",2001,1.71062618595825,0.485908649173955,2,0,0.88177763707806,0.74400697366417,111,273,480,190,666,245,99,19,3.51533742331288,4,0.736717899684655
"29","Bolivia",2002,1.73654159869494,0.423993426458505,2,0,0.909766929730577,0.711292485519672,135,306,532,253,840,258,99,20,3.57521367521368,4,0.706732379163486
"30","Bolivia",2003,1.19096334185848,0.34010152284264,1,0,0.902794396890989,0.614032346146788,300,436,350,87,862,246,66,8,3.66702014846235,4,0.602052687081856
"31","Bolivia",2004,1.23482849604222,0.42560553633218,1,0,0.943053173655754,0.649076650950525,294,391,343,109,759,309,81,7,3.57439446366782,4,0.649076650950525
