"","id_debate","ncat_eleccion","cat_pais","t_fecha","ncat_ronda","str_organizador","cat_organizador","cat_subtipoorg","n_strorganizador","n_catorganizador","dico_org_educ","dico_org_estado","dico_org_mmc","dico_org_mmp","dico_org_osc","nombres_organizadores","ncat_subtipov2","cat_tipoorgv2","ncat_tipoorg_ambito","ncat_tipoorg_visibilidad","cat_areaorg"
"1",1,1989,"Brasil",1989-07-17,1,"Rede Bandeirantes","mmc","medio_privado",1,1,"FALSE","FALSE","TRUE","FALSE","FALSE","Rede Bandeirantes","tv_abierta_privada","mmc",2,3,"tv"
"2",2,1989,"Brasil",1989-11-12,1,"SBT","mmc","medio_privado",1,1,"FALSE","FALSE","TRUE","FALSE","FALSE","SBT","tv_abierta_privada","mmc",2,3,"tv"
"3",3,1989,"Brasil",1989-11-05,1,"Rede Bandeirantes","mmc","medio_privado",1,1,"FALSE","FALSE","TRUE","FALSE","FALSE","Rede Bandeirantes","tv_abierta_privada","mmc",2,3,"tv"
"4",4,1989,"Brasil",1989-08-14,1,"Rede Bandeirantes","mmc","medio_privado",1,1,"FALSE","FALSE","TRUE","FALSE","FALSE","Rede Bandeirantes","tv_abierta_privada","mmc",2,3,"tv"
"5",5,1989,"Brasil",1989-10-16,1,"Rede Bandeirantes","mmc","medio_privado",1,1,"FALSE","FALSE","TRUE","FALSE","FALSE","Rede Bandeirantes","tv_abierta_privada","mmc",2,3,"tv"
"6",6,1989,"Brasil",1989-07-20,1,"Rede Manchete;Conselho Nacional de Defesa dos Direitos da Mulher","osc","medio_privado;osc",2,1,"FALSE","FALSE","FALSE","FALSE","TRUE","Rede Manchete","tv_abierta_privada","mmc",2,3,"tv"
"7",6,1989,"Brasil",1989-07-20,1,"Rede Manchete;Conselho Nacional de Defesa dos Direitos da Mulher","osc","medio_privado;osc",2,1,"FALSE","FALSE","FALSE","FALSE","TRUE","Conselho Nacional de Defesa dos Direitos da Mulher","estado_autonomo","estado",5,1,"estado"
"8",7,1989,"Brasil",1989-12-03,2,"Rede Globo;SBT;Rede Manchete;Rede Bandeirantes","mmc","conjunto_medios_privados",4,1,"FALSE","FALSE","TRUE","FALSE","FALSE","Rede Globo","tv_abierta_privada","mmc",2,3,"tv"
"9",7,1989,"Brasil",1989-12-03,2,"Rede Globo;SBT;Rede Manchete;Rede Bandeirantes","mmc","conjunto_medios_privados",4,1,"FALSE","FALSE","TRUE","FALSE","FALSE","SBT","tv_abierta_privada","mmc",2,3,"tv"
"10",7,1989,"Brasil",1989-12-03,2,"Rede Globo;SBT;Rede Manchete;Rede Bandeirantes","mmc","conjunto_medios_privados",4,1,"FALSE","FALSE","TRUE","FALSE","FALSE","Rede Manchete","tv_abierta_privada","mmc",2,3,"tv"
"11",7,1989,"Brasil",1989-12-03,2,"Rede Globo;SBT;Rede Manchete;Rede Bandeirantes","mmc","conjunto_medios_privados",4,1,"FALSE","FALSE","TRUE","FALSE","FALSE","Rede Bandeirantes","tv_abierta_privada","mmc",2,3,"tv"
"12",8,1989,"Brasil",1989-12-14,2,"Rede Globo;SBT;Rede Manchete;Rede Bandeirantes","mmc","conjunto_medios_privados",4,1,"FALSE","FALSE","TRUE","FALSE","FALSE","Rede Globo","tv_abierta_privada","mmc",2,3,"tv"
"13",8,1989,"Brasil",1989-12-14,2,"Rede Globo;SBT;Rede Manchete;Rede Bandeirantes","mmc","conjunto_medios_privados",4,1,"FALSE","FALSE","TRUE","FALSE","FALSE","SBT","tv_abierta_privada","mmc",2,3,"tv"
"14",8,1989,"Brasil",1989-12-14,2,"Rede Globo;SBT;Rede Manchete;Rede Bandeirantes","mmc","conjunto_medios_privados",4,1,"FALSE","FALSE","TRUE","FALSE","FALSE","Rede Manchete","tv_abierta_privada","mmc",2,3,"tv"
"15",8,1989,"Brasil",1989-12-14,2,"Rede Globo;SBT;Rede Manchete;Rede Bandeirantes","mmc","conjunto_medios_privados",4,1,"FALSE","FALSE","TRUE","FALSE","FALSE","Rede Bandeirantes","tv_abierta_privada","mmc",2,3,"tv"
"16",9,1994,"Brasil",1994-07-25,1,"Associação Comercial do Rio de Janeiro","osc","org_empresaria",1,1,"FALSE","FALSE","FALSE","FALSE","TRUE","Associação Comercial do Rio de Janeiro","asoc_empresaria","osc",1,1,"empresa"
"17",10,1994,"Brasil",1994-08-24,1,"Associação Brasileira de Imprensa","mmc","asoc_medios",1,1,"FALSE","FALSE","TRUE","FALSE","FALSE","Associação Brasileira de Imprensa","asoc_prensa","mmc",3,2,"asociaciones_medios"
